Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Cash Equivalents
104054830.0,104054830.0,514959000.0,616459000.0,4114733000.0,4751341000.0,1547605000.0,4114733000.0,2251000.0,4137133000.0,4306547000.0,4137133000.0,4137133000.0,4033078000.0,,,104055000.0,104055000.0,1623307000.0,368110000.0,1000.0,,,187271000.0,171530000.0,2116000.0,169414000.0,160000.0,1255197000.0,8333000.0,,444929000.0,135000.0,444794000.0,,11912000.0,655176000.0,,,2646000.0,652530000.0,5760440000.0,2957638000.0,69873000.0,,71285000.0,71285000.0,,,22400000.0,22400000.0,2794080000.0,,2794080000.0,654827000.0,2139253000.0,,,,,2802802000.0,119238000.0,,,1114888000.0,,,,,,60000.0,1071026000.0,,,497590000.0,398341000.0,99249000.0,,2024-03-31,
104054830.0,104054830.0,799474000.0,806511000.0,3174473000.0,3984443000.0,1086799000.0,3174473000.0,2320000.0,3180252000.0,3374045000.0,3180252000.0,3180252000.0,3076197000.0,,,104055000.0,104055000.0,1577299000.0,373248000.0,,,,168190000.0,195910000.0,2117000.0,193793000.0,,1204051000.0,23432000.0,,610601000.0,203000.0,610398000.0,,7956000.0,484074000.0,,,2667000.0,481407000.0,4757551000.0,2466701000.0,85016000.0,,65952000.0,65952000.0,,,5779000.0,5779000.0,2309954000.0,,2309954000.0,483261000.0,1826693000.0,,,,,2290850000.0,33042000.0,,,703045000.0,,,,,,1809000.0,1536132000.0,,,16822000.0,12105000.0,4717000.0,,2023-09-30,
104054830.0,104054830.0,470363000.0,501969000.0,3127555000.0,3632215000.0,1275010000.0,3127555000.0,2252000.0,3132498000.0,3298217000.0,3132498000.0,3132498000.0,3028442000.0,1590101000.0,1356242000.0,104055000.0,104055000.0,1336643000.0,329118000.0,-1000.0,0.0,10673000.0,150610000.0,167836000.0,2117000.0,165719000.0,,1007525000.0,-1000.0,0.0,334133000.0,135000.0,333998000.0,6988000.0,,666405000.0,79902000.0,85000.0,0.0,586418000.0,4469141000.0,2186605000.0,-1000.0,147134000.0,7102000.0,7102000.0,0.0,0.0,4943000.0,4943000.0,2007546000.0,-776944000.0,2784490000.0,274184000.0,188792000.0,1968895000.0,227562000.0,125057000.0,0.0,2282535000.0,1000.0,9356000.0,40400000.0,913174000.0,3239000.0,353495000.0,170456000.0,385984000.0,1343000.0,1194000.0,1287652000.0,0.0,1287652000.0,29415000.0,61000.0,29354000.0,29354000.0,2023-03-31,
