Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Date
0.0,0.237491,0.0,0.0,75990400000.0,135033400000.0,167272400000.0,302305800000.0,75990400000.0,75990400000.0,,,,,75990400000.0,75990400000.0,75990400000.0,-310300000.0,76300700000.0,0.0,76300700000.0,23713200000.0,99848700000.0,0.0,,99072100000.0,66241700000.0,211088600000.0,211088600000.0,2024-03-31
0.0,0.25258,0.0,0.0,64916600000.0,129225700000.0,159426300000.0,288652000000.0,64916600000.0,64916600000.0,3101605351.0,3082459639.0,20.93,21.06,64916600000.0,64916600000.0,64916600000.0,-278400000.0,65195000000.0,0.0,65195000000.0,21943400000.0,86877000000.0,0.0,,94574400000.0,64358000000.0,190125000000.0,190125000000.0,2023-12-31
0.0,0.252126,0.0,0.0,61922400000.0,126685600000.0,147489700000.0,274175300000.0,61922400000.0,61922400000.0,3093026973.0,3074597815.0,20.02,20.14,61922400000.0,61922400000.0,61922400000.0,-254400000.0,62176800000.0,0.0,62295900000.0,20961300000.0,83138100000.0,0.0,,92073000000.0,62854700000.0,183732600000.0,183732600000.0,2023-09-30
0.0,0.255465,0.0,0.0,60913500000.0,122738400000.0,139719000000.0,262457400000.0,60913500000.0,60913500000.0,3092055838.0,3077993936.0,19.7,19.79,60913500000.0,60913500000.0,60913500000.0,-217400000.0,61130900000.0,0.0,61130900000.0,20926700000.0,81916200000.0,0.0,,86706000000.0,57034300000.0,179223000000.0,179223000000.0,2023-06-30
-37469460000.0,0.3,-124898200000.0,-124898200000.0,-53618500000.0,120492800000.0,125803800000.0,246296600000.0,33810240000.0,-53618500000.0,3076219162.0,3076219162.0,-17.43,-17.43,-53618500000.0,-53618500000.0,-53618500000.0,-283500000.0,-53335000000.0,0.0,-53335000000.0,22177300000.0,-31534500000.0,-124898200000.0,124898200000.0,79004500000.0,54830600000.0,175451700000.0,175451700000.0,2023-03-31
,,,,,,,,,,3112364185.0,3073710879.0,19.88,20.13,,,,,,,,,,,,,,,,2022-12-31
0.0,0.253757,0.0,0.0,64364300000.0,138975200000.0,172610000000.0,311585200000.0,64364300000.0,64364300000.0,3110889319.0,3088498081.0,20.69,20.84,64364300000.0,64364300000.0,64364300000.0,-307000000.0,64671300000.0,0.0,64671300000.0,21933100000.0,86433400000.0,0.0,,97900300000.0,62954100000.0,205348800000.0,205348800000.0,2024-06-30 00:00:00
0.0,0.192692,0.0,0.0,74012600000.0,139861300000.0,176149200000.0,316010500000.0,74012600000.0,74012600000.0,3112388562.0,3091587302.0,23.78,23.94,74012600000.0,74012600000.0,74012600000.0,-344000000.0,74356600000.0,0.0,74356600000.0,17683900000.0,91772900000.0,0.0,,101369800000.0,66641400000.0,215888500000.0,215888500000.0,2024-09-30 00:00:00
