Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Other Non Operating Income Expenses
0.0,0.244108,87610000.0,0.0,0.0,63820000.0,3180000.0,134490000.0,87610000.0,84430000.0,1480000.0,0.0,1480000.0,63820000.0,63820000.0,177090000.0,180000.0,37104000.0,37104000.0,1.72003,1.72003,63820000.0,63820000.0,0.0,63820000.0,63820000.0,63820000.0,20610000.0,84430000.0,0.0,,0.0,1480000.0,0.0,1480000.0,82430000.0,42600000.0,3880000.0,3180000.0,3180000.0,15270000.0,8480000.0,6790000.0,180000.0,125030000.0,134490000.0,259520000.0,259520000.0,2023-06-30,
0.0,0.361245,42520000.0,0.0,0.0,25260000.0,2980000.0,129070000.0,42520000.0,39540000.0,1100000.0,10000.0,1110000.0,25260000.0,25260000.0,175970000.0,0.0,,,,,25260000.0,25260000.0,0.0,25260000.0,25250000.0,25250000.0,14280000.0,39530000.0,0.0,0.0,0.0,1100000.0,10000.0,1110000.0,38780000.0,46900000.0,3030000.0,2980000.0,2980000.0,14940000.0,12780000.0,2160000.0,0.0,85680000.0,129070000.0,214750000.0,214750000.0,2023-03-31,
0.0,0.259717,86403000.0,,,61502000.0,3324000.0,133734000.0,86403000.0,83079000.0,0.0,0.0,,61502000.0,61502000.0,173169000.0,,36827545.0,36827545.0,1.67,1.67,61502000.0,61502000.0,0.0,61502000.0,61502000.0,61502000.0,21577000.0,83079000.0,,,,0.0,0.0,,78757000.0,39435000.0,24394000.0,3324000.0,3324000.0,,,,,118192000.0,133734000.0,251926000.0,251926000.0,2024-06-30 00:00:00,4322000.0
