Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
98777778.0,98777778.0,1392600000.0,51358600000.0,51428700000.0,1910400000.0,51358600000.0,1392600000.0,51428700000.0,51428700000.0,51428700000.0,51428700000.0,50440900000.0,,987800000.0,987800000.0,20831200000.0,4131600000.0,50700000.0,,2440800000.0,1161300000.0,1161300000.0,452200000.0,16699600000.0,539400000.0,231300000.0,231300000.0,,141000000.0,3371600000.0,,,29700000.0,3341900000.0,72259900000.0,53649900000.0,324500000.0,,7144600000.0,7144600000.0,70100000.0,,43102400000.0,,43102400000.0,7742900000.0,35359500000.0,,,,,18610000000.0,209400000.0,,,398400000.0,,,,2806100000.0,,,15196100000.0,14169200000.0,1026900000.0,,2024-03-31
98777778.0,98777778.0,1149100000.0,46726600000.0,46793900000.0,9423600000.0,46726600000.0,1149100000.0,46793900000.0,46793900000.0,46793900000.0,46793900000.0,45806100000.0,,987800000.0,987800000.0,19769700000.0,3602700000.0,,,2241300000.0,938200000.0,938200000.0,409600000.0,16167000000.0,1025000000.0,210900000.0,210900000.0,,139700000.0,3414800000.0,,,479800000.0,2935000000.0,66563600000.0,40973000000.0,431200000.0,,961700000.0,961700000.0,67300000.0,,38670400000.0,,38670400000.0,6219900000.0,32450500000.0,,,,,25590600000.0,208900000.0,,,366200000.0,,,,2686200000.0,,,22329300000.0,21840700000.0,488600000.0,,2023-09-30
98777778.0,98777778.0,1146100000.0,41290800000.0,41342200000.0,4450500000.0,41290800000.0,1146100000.0,41342200000.0,41342200000.0,41342200000.0,41342200000.0,40354400000.0,38236000000.0,987800000.0,987800000.0,18980900000.0,3369200000.0,,334300000.0,2086000000.0,938400000.0,938400000.0,334300000.0,15611700000.0,5900000.0,207700000.0,207700000.0,163400000.0,67500000.0,4899500000.0,1639200000.0,8500000.0,29700000.0,3222100000.0,60323100000.0,40260900000.0,382700000.0,1316800000.0,750000000.0,750000000.0,51400000.0,51400000.0,37313000000.0,-11436800000.0,48749800000.0,7107400000.0,3028000000.0,844000000.0,1395800000.0,227200000.0,36147400000.0,20062200000.0,333700000.0,31200000.0,453800000.0,338400000.0,15100000.0,323300000.0,952800000.0,2940300000.0,-35200000.0,2975500000.0,15345700000.0,14166700000.0,1179000000.0,1179000000.0,2023-03-31
