Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Interest Income,Interest Income Non Operating
0.0,0.275957,1612173000.0,1013356000.0,31060000.0,2121284000.0,1612173000.0,1581113000.0,-181534000.0,181534000.0,1013356000.0,1013356000.0,2764473000.0,,,,,1013356000.0,1013356000.0,0.0,1013356000.0,0.0,1013356000.0,1013356000.0,386223000.0,1399579000.0,79533000.0,-181534000.0,181534000.0,1504421000.0,643189000.0,382607000.0,31060000.0,31060000.0,2147610000.0,2121284000.0,4268894000.0,4268894000.0,2024-03-31,,
0.0,0.361711,42664000.0,-97288000.0,24177000.0,-28093000.0,42664000.0,18487000.0,-170907000.0,170907000.0,-97288000.0,-97288000.0,596898000.0,140997101.0,140997101.0,-0.69,-0.69,-97288000.0,-97288000.0,0.0,-97288000.0,0.0,-97288000.0,-97288000.0,-55132000.0,-152420000.0,185378000.0,-170907000.0,170907000.0,-172414000.0,624991000.0,370595000.0,24177000.0,24177000.0,452577000.0,-28093000.0,424484000.0,424484000.0,2023-12-31,,
0.0,0.313301,-22898000.0,-139428000.0,22310000.0,-50585000.0,-22898000.0,-45208000.0,-157833000.0,157833000.0,-139428000.0,-139428000.0,413044000.0,140836364.0,140836364.0,-0.99,-0.99,-139428000.0,-139428000.0,0.0,-139428000.0,0.0,-139428000.0,-139428000.0,-63613000.0,-203041000.0,112862000.0,-157833000.0,157833000.0,-163688000.0,463629000.0,212209000.0,22310000.0,22310000.0,299941000.0,-50585000.0,249356000.0,249356000.0,2023-09-30,,
0.0,0.286339,96650000.0,-67356000.0,17785000.0,301808000.0,96650000.0,78865000.0,-173246000.0,173246000.0,-67356000.0,-67356000.0,798057000.0,140325000.0,140325000.0,-0.48,-0.48,-67356000.0,-67356000.0,0.0,-67356000.0,0.0,-67356000.0,-67356000.0,-27025000.0,-94381000.0,178457000.0,-173246000.0,173246000.0,-92323000.0,496249000.0,262876000.0,17785000.0,17785000.0,403926000.0,301808000.0,705734000.0,705734000.0,2023-06-30,,
0.0,0.182473,-46571000.0,-279384000.0,19327000.0,92991000.0,-46571000.0,-65898000.0,-21948000.0,275845000.0,-279384000.0,-279384000.0,482204000.0,,,,,-279384000.0,-279384000.0,0.0,-279384000.0,0.0,-279384000.0,-279384000.0,-62359000.0,-341743000.0,-193222000.0,-21948000.0,275845000.0,-94910000.0,389213000.0,-318336000.0,19327000.0,19015000.0,294303000.0,92991000.0,387294000.0,387294000.0,2023-03-31,,
,,,,,,,,,,,,,137980000.0,137980000.0,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,2022-12-31,,
0.0,0.236178,434566000.0,227809000.0,33619000.0,2316300000.0,434566000.0,400947000.0,-102698000.0,102698000.0,227809000.0,227809000.0,2882650000.0,146031410.0,146031410.0,1.56,1.56,227809000.0,227809000.0,0.0,227809000.0,0.0,227809000.0,227809000.0,70440000.0,298249000.0,117385000.0,-102698000.0,102698000.0,280149000.0,566350000.0,297562000.0,33619000.0,33619000.0,846499000.0,2316300000.0,3162799000.0,3162799000.0,2024-06-30 00:00:00,,
