Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
313456886.0,313456886.0,21824129000.0,34398789000.0,62788925000.0,97187719000.0,28128668000.0,62788925000.0,,62788930000.0,87926009000.0,80239663000.0,17450733000.0,62788930000.0,62475473000.0,,,313457000.0,313457000.0,41435546000.0,28201025000.0,,2092442000.0,25137079000.0,,25137079000.0,42178000.0,13234521000.0,497272000.0,,9261710000.0,,9261710000.0,,3488000.0,2030931000.0,,,2030931000.0,121675209000.0,80312020000.0,958533000.0,,249377000.0,666935000.0,,666935000.0,3873394000.0,5000.0,5000.0,74177933000.0,,74177933000.0,36572649000.0,37605284000.0,,,,,41363189000.0,1852292000.0,,,2280768000.0,,,,4191797000.0,,19153962000.0,13884370000.0,1309710000.0,12574660000.0,,,2024-03-31
263917000.0,263917000.0,46287551000.0,51483367000.0,25271444000.0,76754816000.0,7911033000.0,25271444000.0,,25271449000.0,66759484000.0,41315767000.0,16044318000.0,25271449000.0,25007532000.0,,,263917000.0,263917000.0,68204303000.0,44313770000.0,,2066017000.0,41488035000.0,,41488035000.0,28753000.0,23890533000.0,1243464000.0,,9995332000.0,,9995332000.0,,8998000.0,9023418000.0,,,9023418000.0,109520070000.0,77718504000.0,1075756000.0,7434000.0,213098000.0,149262000.0,,149262000.0,3938005000.0,5000.0,5000.0,72316611000.0,,72316611000.0,34433469000.0,37883142000.0,,,,,31801566000.0,1883329000.0,,,3128591000.0,,,,1805374000.0,,18054786000.0,6929486000.0,1733670000.0,5195816000.0,,,2023-09-30
263917000.0,263917000.0,48342486000.0,50370039000.0,22836781000.0,72630122000.0,3149231000.0,22836781000.0,576703000.0,22836786000.0,62115729000.0,37350719000.0,14513933000.0,22836786000.0,3966757000.0,-221338000.0,9950943000.0,263917000.0,263917000.0,64897100000.0,42284231000.0,28139000.0,2261176000.0,39799218000.0,520275000.0,39278943000.0,28139000.0,22612869000.0,896694000.0,1107000.0,10570821000.0,56428000.0,10514393000.0,8998000.0,29400000.0,11840190000.0,1861897000.0,2956000.0,9975337000.0,102247819000.0,76485719000.0,145243000.0,980535000.0,452332000.0,126192000.0,81100000.0,45092000.0,3981733000.0,5000.0,5000.0,70799679000.0,-3982277000.0,74781956000.0,32529178000.0,761825000.0,32040337000.0,204643000.0,9245973000.0,0.0,25762100000.0,18550000.0,2956000.0,161345000.0,2605736000.0,821466000.0,1418933000.0,365337000.0,1362997000.0,1567026000.0,17855983000.0,2187507000.0,736657000.0,1450850000.0,1148361000.0,302489000.0,2023-03-31
