Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.202098,149338000.0,,,114424000.0,5914000.0,221077000.0,149338000.0,143424000.0,-18000.0,18000.0,114424000.0,114424000.0,344865000.0,,,,,114424000.0,114424000.0,0.0,114424000.0,114424000.0,0.0,114424000.0,28982000.0,143406000.0,33644000.0,,,-18000.0,18000.0,109780000.0,123788000.0,86087000.0,5914000.0,5914000.0,233568000.0,221077000.0,454645000.0,454645000.0,2024-03-31
0.0,0.274984,119204000.0,0.0,0.0,82298000.0,5665000.0,239882000.0,119204000.0,113539000.0,-27000.0,27000.0,82298000.0,82298000.0,354484000.0,32147656.0,32147656.0,2.56,2.56,82298000.0,82298000.0,0.0,82298000.0,82298000.0,0.0,82298000.0,31214000.0,113512000.0,27407000.0,0.0,,-27000.0,27000.0,86132000.0,114602000.0,80345000.0,5665000.0,5665000.0,200734000.0,239882000.0,440616000.0,440616000.0,2023-12-31
0.0,0.273259,128540000.0,0.0,0.0,89286000.0,5668000.0,255772000.0,128540000.0,122872000.0,-14000.0,14000.0,89286000.0,89286000.0,372040000.0,32117266.0,32117266.0,2.78,2.78,89286000.0,89286000.0,0.0,89286000.0,89286000.0,0.0,89286000.0,33572000.0,122858000.0,26920000.0,0.0,,-14000.0,14000.0,95952000.0,116268000.0,81846000.0,5668000.0,5668000.0,212220000.0,255772000.0,467992000.0,467992000.0,2023-09-30
0.0,0.27209,148143000.0,0.0,0.0,103768000.0,5586000.0,307190000.0,148143000.0,142557000.0,-1000.0,1000.0,103768000.0,103768000.0,436998000.0,32126316.0,32126316.0,3.23,3.23,103768000.0,103768000.0,0.0,103768000.0,103768000.0,0.0,103768000.0,38788000.0,142556000.0,29778000.0,0.0,,-1000.0,1000.0,112779000.0,129808000.0,94484000.0,5586000.0,5586000.0,242587000.0,307190000.0,549777000.0,549777000.0,2023-06-30
3414166.553187,0.263866,164984000.0,12939000.0,12939000.0,126495000.0,6072000.0,278724000.0,177923000.0,171851000.0,23254000.0,14000.0,116970166.553187,126495000.0,732359000.0,,,,,126495000.0,126495000.0,0.0,126495000.0,126495000.0,0.0,126495000.0,45342000.0,171837000.0,301175000.0,2265000.0,-2265000.0,23254000.0,14000.0,-172927000.0,453635000.0,,6072000.0,6072000.0,280708000.0,278724000.0,559432000.0,559432000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,32077986.0,32077986.0,4.27,4.27,,,,,,,,,,,0.0,,,,,,108697000.0,,,,,,,2022-12-31
0.0,0.270443,197058000.0,0.0,0.0,140118000.0,4989000.0,209527000.0,197058000.0,192069000.0,-10000.0,10000.0,140118000.0,140118000.0,338061000.0,32063616.0,32063616.0,4.37,4.37,140118000.0,140118000.0,0.0,140118000.0,140118000.0,0.0,140118000.0,51941000.0,192059000.0,32504000.0,0.0,,-10000.0,10000.0,159565000.0,128534000.0,84530000.0,4989000.0,4989000.0,288099000.0,209527000.0,497626000.0,497626000.0,2024-06-30 00:00:00
