Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
74546561.646395,0.131435,294031000.0,567176000.0,567176000.0,685167000.0,,-25167000.0,861207000.0,861207000.0,-160136000.0,160136000.0,192537561.646395,685167000.0,3412757000.0,,,,,685167000.0,685167000.0,0.0,685167000.0,11467000.0,673700000.0,673700000.0,92145000.0,701071000.0,20054000.0,567176000.0,-567176000.0,-160136000.0,160136000.0,273979000.0,3437924000.0,817848000.0,,,2240324000.0,2240324000.0,3711903000.0,-25167000.0,3686736000.0,3686736000.0,2024-03-31
48149245.079637,0.147479,436270000.0,326481000.0,326481000.0,563516000.0,,1613322000.0,762751000.0,762751000.0,-222547000.0,222547000.0,285184245.079637,563516000.0,6753769000.0,96657976.0,91479870.0,5.83,6.16,563516000.0,563516000.0,0.0,563516000.0,21611000.0,541906000.0,541906000.0,79669000.0,540204000.0,58998000.0,326481000.0,-326481000.0,-222547000.0,222547000.0,377273000.0,5140447000.0,845801000.0,,,3996775000.0,3996775000.0,5517720000.0,1613322000.0,7131042000.0,7131042000.0,2023-12-31
11976607.092144,0.115535,521764000.0,103662000.0,103662000.0,593291000.0,193204000.0,1647137000.0,625426000.0,432222000.0,-119538000.0,119538000.0,501605607.092144,593291000.0,5429270000.0,94473089.0,91416179.0,6.28,6.49,593291000.0,593291000.0,0.0,593291000.0,11675000.0,581616000.0,581616000.0,36126000.0,312684000.0,217147000.0,103662000.0,,-119538000.0,119538000.0,111413000.0,3782133000.0,555872000.0,193204000.0,193204000.0,2742723000.0,2742723000.0,3893546000.0,1647137000.0,5540683000.0,5540683000.0,2023-09-30
-781184.028667,0.060207,1417322000.0,-12975000.0,-12975000.0,1028059000.0,182663000.0,2790083000.0,1404347000.0,1221684000.0,-195007000.0,195007000.0,1040252815.971333,1028059000.0,9266931000.0,92617928.0,91464324.0,11.1,11.24,1028059000.0,1028059000.0,0.0,1028059000.0,8290000.0,1019768000.0,1019768000.0,61813000.0,1026677000.0,321988000.0,-12975000.0,,-195007000.0,195007000.0,912670000.0,6476848000.0,787428000.0,182663000.0,182663000.0,5228074000.0,5228074000.0,7389518000.0,2790083000.0,10179601000.0,10179601000.0,2023-06-30
0.0,0.192775,938117000.0,,,399568000.0,193732000.0,4245213000.0,938117000.0,744385000.0,-188826000.0,144742000.0,399568000.0,399568000.0,6166747000.0,,,,,399568000.0,399568000.0,0.0,399568000.0,1714000.0,397855000.0,397855000.0,115596000.0,599643000.0,-325313000.0,,,-188826000.0,144742000.0,453253000.0,1921534000.0,-5805657000.0,193732000.0,124040000.0,,,2374787000.0,4245213000.0,6620000000.0,6620000000.0,2023-03-31
,,,0.0,0.0,,176444000.0,,,,,,,,,91520670.0,91520670.0,3.58,3.58,,,,,,,,,,,0.0,,,,,,,176444000.0,176444000.0,2064333000.0,2064333000.0,,,,,2022-12-31
0.0,0.084187,907948000.0,0.0,0.0,595736000.0,168621000.0,1551153000.0,907948000.0,739327000.0,-169771000.0,169771000.0,595736000.0,595736000.0,6440555000.0,94411410.0,91510906.0,6.31,6.51,595736000.0,595736000.0,0.0,595736000.0,-7362000.0,603097000.0,603097000.0,47949000.0,569556000.0,38331000.0,0.0,,-169771000.0,169771000.0,700996000.0,4889402000.0,751548000.0,168621000.0,168621000.0,3608975000.0,3608975000.0,5590398000.0,1551153000.0,7141551000.0,7141551000.0,2024-06-30 00:00:00
