Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,142793803.0,142793803.0,87510000.0,7868573000.0,8305823000.0,6477874000.0,7868573000.0,87510000.0,8305823000.0,8305823000.0,8305823000.0,8305823000.0,8163029000.0,,,142794000.0,142794000.0,1530011000.0,88070000.0,48182000.0,39888000.0,39888000.0,1441941000.0,175389000.0,47622000.0,47622000.0,31671000.0,402802000.0,,,1014000.0,401788000.0,9835834000.0,1916019000.0,1266000.0,,,3897000.0,48719000.0,48719000.0,437250000.0,7240000.0,430010000.0,1424887000.0,,1424887000.0,277981000.0,1146906000.0,,,,,7919815000.0,608416000.0,,,,562155000.0,,,,,2132000.0,439914000.0,,,6307198000.0,6080066000.0,227132000.0,,2024-03-31
,142626000.0,142626000.0,109383000.0,7575481000.0,8012152000.0,6171425000.0,7575481000.0,109383000.0,8012152000.0,8012152000.0,8012152000.0,8012152000.0,7869526000.0,,,142626000.0,142626000.0,1572866000.0,104431000.0,40477000.0,63954000.0,63954000.0,1468435000.0,88475000.0,45429000.0,45429000.0,22283000.0,388041000.0,,,1118000.0,386923000.0,9585018000.0,1945158000.0,3533000.0,,,3375000.0,44908000.0,44908000.0,436671000.0,6661000.0,430010000.0,1456671000.0,,1456671000.0,277248000.0,1179423000.0,,,,,7639860000.0,661226000.0,,,,585947000.0,,,,,12951000.0,552138000.0,,,5827598000.0,5573531000.0,254067000.0,,2023-09-30
687647.0,142642000.0,143329647.0,92840000.0,7460472000.0,7896789000.0,6065005000.0,7460472000.0,92840000.0,7896789000.0,7896789000.0,7896789000.0,7896789000.0,25788000.0,5125993000.0,1971799000.0,142642000.0,142642000.0,1347343000.0,99049000.0,37974000.0,61075000.0,61075000.0,1248294000.0,75139000.0,31765000.0,31765000.0,17738000.0,461149000.0,6593000.0,2169000.0,2022000.0,450365000.0,9244132000.0,1930833000.0,-30298000.0,39922000.0,2408000.0,2871000.0,4126000.0,4126000.0,436317000.0,6307000.0,430010000.0,1475487000.0,-369551000.0,1845038000.0,276604000.0,118513000.0,327420000.0,458388000.0,664113000.0,0.0,7313299000.0,553082000.0,2188000.0,30586000.0,550744000.0,512814000.0,309787000.0,9995000.0,193032000.0,1371000.0,1221000.0,304356000.0,-3121000.0,307477000.0,5911240000.0,5771697000.0,139543000.0,139543000.0,2023-03-31
