Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.045889,424410000.0,,,284640000.0,94870000.0,1334770000.0,424410000.0,329540000.0,-31210000.0,31210000.0,284640000.0,284640000.0,2638190000.0,,,,,284640000.0,284640000.0,0.0,284640000.0,284640000.0,284640000.0,13690000.0,298330000.0,16400000.0,,-31210000.0,31210000.0,313140000.0,1303420000.0,529660000.0,94870000.0,94870000.0,1616560000.0,1334770000.0,2951330000.0,2951330000.0,2024-03-31
0.0,0.281324,393520000.0,,,176090000.0,93700000.0,1027950000.0,393520000.0,299820000.0,-54800000.0,54800000.0,176090000.0,176090000.0,2270300000.0,25084046.0,25084046.0,7.02,7.02,176090000.0,176090000.0,0.0,176090000.0,176090000.0,176090000.0,68930000.0,245020000.0,48760000.0,,-54800000.0,54800000.0,251060000.0,1242350000.0,494610000.0,93700000.0,93700000.0,1493410000.0,1027950000.0,2521360000.0,2521360000.0,2023-12-31
0.0,0.25589,521390000.0,0.0,0.0,285820000.0,95270000.0,1193590000.0,521390000.0,426120000.0,-42010000.0,42010000.0,285820000.0,285820000.0,2554840000.0,25492600.0,25492600.0,11.39,11.39,285820000.0,285820000.0,0.0,285820000.0,285820000.0,285820000.0,98290000.0,384110000.0,56310000.0,0.0,-42010000.0,42010000.0,369800000.0,1361250000.0,606650000.0,95270000.0,95270000.0,1731050000.0,1193590000.0,2924640000.0,2924640000.0,2023-09-30
0.0,0.398634,401620000.0,,,149710000.0,93700000.0,956270000.0,401620000.0,307920000.0,-58970000.0,58970000.0,149710000.0,149710000.0,2210000000.0,25077052.0,25077052.0,5.97,5.97,149710000.0,149710000.0,0.0,149710000.0,149710000.0,149710000.0,99240000.0,248950000.0,41700000.0,,-58970000.0,58970000.0,266220000.0,1253730000.0,544510000.0,93700000.0,93700000.0,1519950000.0,956270000.0,2476220000.0,2476220000.0,2023-06-30
-18117840.25182,0.192681,418530000.0,-94030000.0,-94030000.0,205180000.0,91660000.0,2060670000.0,324500000.0,232840000.0,-9810000.0,-21310000.0,281092159.74818,205180000.0,1843720000.0,,,,,205180000.0,205180000.0,0.0,205180000.0,205180000.0,205180000.0,48970000.0,254150000.0,-208890000.0,-3830000.0,-9810000.0,-21310000.0,403170000.0,-216950000.0,-761960000.0,91660000.0,91590000.0,186220000.0,2060670000.0,2246890000.0,2246890000.0,2023-03-31
,,,-1060000.0,-1060000.0,,,,,,,,,,,25476008.0,25476008.0,5.21,5.21,,,,,,,,,,-1060000.0,,,,,,,,,,,,2022-12-31
0.0,0.124023,357130000.0,,,180460000.0,98030000.0,849280000.0,357130000.0,259100000.0,-53090000.0,53090000.0,180460000.0,180460000.0,2221170000.0,25098748.0,25098748.0,7.19,7.19,180460000.0,180460000.0,0.0,180460000.0,180460000.0,180460000.0,25550000.0,206010000.0,27140000.0,,-53090000.0,53090000.0,231960000.0,1371890000.0,585460000.0,98030000.0,98030000.0,1603850000.0,849280000.0,2453130000.0,2453130000.0,2024-06-30 00:00:00
