Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Tradeand Other Payables Non Current
0.0,205474008.0,205474008.0,28679950000.0,30051850000.0,17781630000.0,48016710000.0,-10306830000.0,17781630000.0,548560000.0,18513420000.0,37059500000.0,18508680000.0,-4740000.0,18513420000.0,16458680000.0,,,2054740000.0,2054740000.0,38986790000.0,19858830000.0,235030000.0,,117500000.0,,,19044240000.0,498160000.0,18546080000.0,19127960000.0,4852600000.0,11007610000.0,50400000.0,10957210000.0,79520000.0,2071180000.0,,,50000.0,2071130000.0,57495470000.0,48674340000.0,1026000000.0,,,1623490000.0,980560000.0,,980560000.0,,18446690000.0,731790000.0,45960000.0,685830000.0,25246470000.0,,25246470000.0,369190000.0,24877280000.0,,,,,8821130000.0,1356220000.0,,,,5420400000.0,,,,,551580000.0,,,1492930000.0,669590000.0,823340000.0,,2024-03-31,
,205394704.0,205394704.0,28893700000.0,29771320000.0,16325720000.0,46103170000.0,-3632030000.0,16325720000.0,570450000.0,16902300000.0,39766020000.0,16898150000.0,-4150000.0,16902300000.0,14848350000.0,,,2053950000.0,2053950000.0,35141840000.0,23870600000.0,148380000.0,,87760000.0,,1510000.0,23389490000.0,525770000.0,22863720000.0,11271240000.0,2305530000.0,6381830000.0,44680000.0,6337150000.0,118980000.0,1291210000.0,,,,1291210000.0,52039990000.0,44400780000.0,674780000.0,,,1898440000.0,852210000.0,,852210000.0,,17335970000.0,576580000.0,39470000.0,537110000.0,22652080000.0,,22652080000.0,333190000.0,22318890000.0,,,,,7639210000.0,1249390000.0,,,,4514730000.0,,,,,780380000.0,,,1094710000.0,787540000.0,307170000.0,,2023-09-30,
,205024864.0,205024864.0,25635240000.0,26671250000.0,14851030000.0,41499170000.0,-3732690000.0,14851030000.0,591470000.0,15419390000.0,35637580000.0,15415330000.0,-4060000.0,15419390000.0,636680000.0,1306010000.0,10269500000.0,2050250000.0,2050250000.0,33892420000.0,23116050000.0,35400000.0,1858930000.0,82850000.0,154780000.0,0.0,20766750000.0,548560000.0,20218190000.0,10776370000.0,2214570000.0,5904500000.0,42910000.0,5861590000.0,108440000.0,2676920000.0,1080450000.0,0.0,195000000.0,1596470000.0,49307750000.0,42264070000.0,494640000.0,605500000.0,86080000.0,1444970000.0,459360000.0,130000.0,390890000.0,68340000.0,16473850000.0,568360000.0,31250000.0,537110000.0,22471110000.0,-11997390000.0,34468500000.0,1035450000.0,2057950000.0,7154270000.0,15611780000.0,8609050000.0,0.0,7043680000.0,8410000.0,750000.0,295610000.0,320230000.0,4129260000.0,108160000.0,4021100000.0,757200000.0,60690000.0,508650000.0,-28180000.0,536830000.0,962880000.0,518340000.0,444540000.0,444540000.0,2023-03-31,
