Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.4,28700940000.0,0.0,0.0,18948180000.0,139991230000.0,28700940000.0,28700940000.0,-10991280000.0,10991280000.0,18948180000.0,18948180000.0,154696060000.0,31446840000.0,,,,,18948180000.0,18948180000.0,0.0,18948180000.0,0.0,18948180000.0,18948180000.0,-1238520000.0,17709660000.0,6798370000.0,0.0,-10991280000.0,10991280000.0,23556610000.0,14704830000.0,14704830000.0,38261440000.0,139991230000.0,178252670000.0,178252670000.0,2024-03-31
0.0,0.00013,40937220000.0,0.0,0.0,29981200000.0,144637900000.0,40937220000.0,40937220000.0,-10952110000.0,10952110000.0,29981200000.0,29981200000.0,159175870000.0,29297850000.0,386455272.0,385908096.0,77.58,77.69,29981200000.0,29981200000.0,0.0,29981200000.0,0.0,29981200000.0,29981200000.0,3910000.0,29985110000.0,6101040000.0,0.0,-10952110000.0,10952110000.0,35345610000.0,14537970000.0,14537970000.0,49883580000.0,144637900000.0,194521480000.0,194521480000.0,2023-12-31
0.0,0.000899,12103720000.0,0.0,0.0,1889290000.0,123026950000.0,12103720000.0,12103720000.0,-10212730000.0,10212730000.0,1889290000.0,1889290000.0,136754380000.0,23126640000.0,386357873.0,385569388.0,4.89,4.9,1889290000.0,1889290000.0,0.0,1889290000.0,0.0,1889290000.0,1889290000.0,1700000.0,1890990000.0,5590640000.0,0.0,-10212730000.0,10212730000.0,12684370000.0,13727430000.0,13727430000.0,26411800000.0,123026950000.0,149438750000.0,149438750000.0,2023-09-30
0.0,4.3e-05,40444750000.0,0.0,0.0,30906010000.0,119995880000.0,40444750000.0,40444750000.0,-9537420000.0,9537420000.0,30906010000.0,30906010000.0,132324720000.0,26196860000.0,386180307.0,385554017.0,80.03,80.16,30906010000.0,30906010000.0,0.0,30906010000.0,0.0,30906010000.0,30906010000.0,1320000.0,30907330000.0,4778160000.0,0.0,-9537420000.0,9537420000.0,34505800000.0,12328840000.0,12328840000.0,46834640000.0,119995880000.0,166830520000.0,166830520000.0,2023-06-30
0.0,0.000682,18380600000.0,0.0,0.0,9192020000.0,118410410000.0,18380600000.0,18380600000.0,-9182310000.0,9182310000.0,9192020000.0,9192020000.0,130148870000.0,24771080000.0,,,,,9192020000.0,9192020000.0,0.0,9192020000.0,0.0,9192020000.0,9192020000.0,6270000.0,9198290000.0,4395220000.0,0.0,-9182310000.0,9182310000.0,11457150000.0,11738460000.0,11738460000.0,23195610000.0,118410410000.0,141606020000.0,141606020000.0,2023-03-31
,,,,,,,,,,,,,,,385947911.0,385425088.0,36.86,36.91,,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.026819,39616000000.0,0.0,0.0,27288000000.0,146486000000.0,39616000000.0,39616000000.0,-11576000000.0,11576000000.0,27288000000.0,27288000000.0,162298000000.0,32274000000.0,386679892.0,385968883.0,70.57,70.7,27288000000.0,27288000000.0,0.0,27288000000.0,0.0,27288000000.0,27288000000.0,752000000.0,28040000000.0,6782000000.0,0.0,-11576000000.0,11576000000.0,33409000000.0,15812000000.0,15812000000.0,49221000000.0,146486000000.0,195707000000.0,195707000000.0,2024-06-30 00:00:00
