Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Current Liabilities,Other Current Liabilities,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Other Inventories,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Restricted Cash
15100000.0,15100000.0,4713523000.0,4713523000.0,1854345000.0,4713523000.0,4713523000.0,4713523000.0,4713523000.0,4713523000.0,4562523000.0,,,151000000.0,151000000.0,622958000.0,190361000.0,,190361000.0,432597000.0,53176000.0,,12282000.0,360798000.0,,,360798000.0,5336481000.0,3049539000.0,344785000.0,,2704754000.0,2704754000.0,,,0.0,,,,,,,,,,,2286942000.0,58135000.0,2413000.0,,,,,32877000.0,2193517000.0,2183067000.0,10450000.0,,2024-03-31,
15100000.0,15100000.0,4394237000.0,4394242000.0,1791635000.0,4394237000.0,4394242000.0,4394242000.0,4394242000.0,4394242000.0,4243242000.0,,,151000000.0,151000000.0,560244000.0,149391000.0,,149391000.0,410853000.0,43927000.0,,12171000.0,346829000.0,,,346829000.0,4954486000.0,2751998000.0,61354000.0,,2365802000.0,,,,5000.0,,324837000.0,,324837000.0,,324837000.0,,,,,2202488000.0,37557000.0,3151000.0,,,,,53329000.0,2108451000.0,2100123000.0,8328000.0,,2023-09-30,
15100000.0,15100000.0,4311699000.0,4311704000.0,1787796000.0,4311699000.0,4311704000.0,4311704000.0,4311704000.0,4311704000.0,4160704000.0,909108000.0,96000000.0,151000000.0,151000000.0,453238000.0,122778000.0,-386118000.0,122778000.0,330460000.0,52181000.0,11866000.0,11866000.0,318594000.0,52181000.0,6876000.0,259537000.0,4764942000.0,2646686000.0,45677000.0,23577000.0,1807361000.0,1807361000.0,425456000.0,425456000.0,5000.0,5000.0,368187000.0,-2195613000.0,2563800000.0,0.0,19514000.0,2485146000.0,23227000.0,35913000.0,0.0,2118256000.0,22704000.0,3107000.0,-3000.0,3107000.0,64045000.0,34757000.0,36424000.0,1957219000.0,1945851000.0,11368000.0,11368000.0,2023-03-31,
15100000.0,15100000.0,4721123000.0,4721123000.0,1816978000.0,4721123000.0,4721123000.0,4721123000.0,4721123000.0,4721123000.0,4570123000.0,,,151000000.0,151000000.0,700254000.0,194724000.0,,194724000.0,505530000.0,54136000.0,,7124000.0,413223000.0,,,413223000.0,5421377000.0,3098869000.0,67928000.0,,2750570000.0,2750570000.0,,,,,280371000.0,,,,,,,,,2322508000.0,77174000.0,1095000.0,,,,,40072000.0,2204167000.0,2197047000.0,7120000.0,,2024-09-30 00:00:00,
