Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
10620275.0,10620275.0,65826000.0,160290000.0,528874000.0,689164000.0,265552000.0,528874000.0,528874000.0,558437000.0,528874000.0,528874000.0,,,,106203000.0,106203000.0,293434000.0,49949000.0,1000.0,,3730000.0,7026000.0,29563000.0,29563000.0,9629000.0,243485000.0,19027000.0,,130727000.0,130727000.0,,24623000.0,56564000.0,,,,56564000.0,822308000.0,313271000.0,9918000.0,,4470000.0,4470000.0,,,0.0,,298883000.0,,298883000.0,8253000.0,290630000.0,,,,,509037000.0,16834000.0,0.0,,,164151000.0,,,,,,94783000.0,,,233269000.0,138805000.0,94464000.0,,,2024-03-31
10620275.0,10620275.0,413273000.0,518726000.0,903239000.0,1434971000.0,374641000.0,903239000.0,916245000.0,974206000.0,916245000.0,916245000.0,-1000.0,,,106203000.0,106203000.0,1222350000.0,102101000.0,1000.0,,12305000.0,20671000.0,57961000.0,57961000.0,11163000.0,1120249000.0,31271000.0,,460765000.0,460765000.0,,26253000.0,560729000.0,,,,560729000.0,2138595000.0,643705000.0,496000.0,,10106000.0,10106000.0,,,13006000.0,13006000.0,620097000.0,,620097000.0,11681000.0,608416000.0,,,,,1494890000.0,78495000.0,1505000.0,,,551279000.0,,,,,-126000.0,395417000.0,,,468320000.0,362867000.0,105453000.0,,,2023-09-30
10620275.0,10620275.0,457897000.0,558545000.0,857630000.0,1431703000.0,351055000.0,857630000.0,873158000.0,955075000.0,873158000.0,873158000.0,-1000.0,612578000.0,0.0,106203000.0,106203000.0,1230598000.0,127544000.0,5221000.0,11299000.0,9488000.0,19619000.0,81917000.0,81917000.0,11299000.0,1103054000.0,13705000.0,5832000.0,476628000.0,476628000.0,5477000.0,18000.0,604878000.0,22198000.0,0.0,3483000.0,579197000.0,2103756000.0,649647000.0,379000.0,6078000.0,2136000.0,2136000.0,0.0,0.0,15528000.0,15528000.0,623744000.0,-837266000.0,1461010000.0,3523000.0,21173000.0,1041550000.0,272752000.0,122012000.0,0.0,1454109000.0,29956000.0,1505000.0,71000.0,41125000.0,518833000.0,8508000.0,160481000.0,33695000.0,316149000.0,51066000.0,446407000.0,-909000.0,447316000.0,365146000.0,264498000.0,100648000.0,89368000.0,11280000.0,2023-03-31
