Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Net Income Discontinuous Operations
0.0,0.071556,5080530000.0,,,2081950000.0,1688510000.0,6542340000.0,5080530000.0,3392020000.0,-1141760000.0,1141760000.0,2081950000.0,2075160000.0,14312990000.0,,,,,2075160000.0,2075160000.0,0.0,2075160000.0,-7290000.0,2082450000.0,2089240000.0,161020000.0,2250260000.0,213290000.0,,-1141760000.0,1141760000.0,1414980000.0,7770650000.0,6082140000.0,1688510000.0,1688510000.0,9185630000.0,6542340000.0,15727970000.0,15727970000.0,2024-03-31,
0.0,0.234518,2997790000.0,,,657090000.0,1515050000.0,5842610000.0,2997790000.0,1482740000.0,-624340000.0,624340000.0,657090000.0,657090000.0,12495090000.0,657090000.0,657090000.0,1.0,1.0,657090000.0,657090000.0,0.0,657090000.0,0.0,657090000.0,657090000.0,201310000.0,858400000.0,41560000.0,,-624340000.0,624340000.0,1286080000.0,6652480000.0,5137430000.0,1515050000.0,1515050000.0,7938560000.0,5842610000.0,13781170000.0,13781170000.0,2023-12-31,
0.0,0.193552,3192510000.0,,,972020000.0,1418760000.0,5854190000.0,3192510000.0,1773750000.0,-568440000.0,568440000.0,972020000.0,972020000.0,12333240000.0,661238095.0,661238095.0,1.47,1.47,972020000.0,972020000.0,0.0,972020000.0,0.0,972020000.0,972020000.0,233290000.0,1205310000.0,70610000.0,,-568440000.0,568440000.0,1353080000.0,6479050000.0,5060290000.0,1418760000.0,1418760000.0,7832130000.0,5854190000.0,13686320000.0,13686320000.0,2023-09-30,
0.0,0.3,2443530000.0,,,289170000.0,1357230000.0,5759680000.0,2443530000.0,1086300000.0,-543110000.0,543110000.0,289170000.0,289170000.0,11944320000.0,657204545.0,657204545.0,0.44,0.44,289170000.0,289170000.0,0.0,289170000.0,0.0,289170000.0,289170000.0,254020000.0,543190000.0,93370000.0,,-543110000.0,543110000.0,1401100000.0,6184640000.0,4827410000.0,1357230000.0,1357230000.0,7585740000.0,5759680000.0,13345420000.0,13345420000.0,2023-06-30,
-10617000.0,0.3,2413683000.0,-35390000.0,-35390000.0,285544000.0,1315483000.0,4645658000.0,2378293000.0,1062810000.0,-261392000.0,528682000.0,310317000.0,285544000.0,11213994000.0,,,,,285544000.0,285544000.0,0.0,285544000.0,4000.0,285540000.0,285540000.0,248588000.0,534128000.0,-143332000.0,-108950000.0,-261392000.0,528682000.0,1284687000.0,6568336000.0,-3871167000.0,1315483000.0,1083833000.0,7853023000.0,4645658000.0,12498681000.0,12498681000.0,2023-03-31,
,,,0.0,0.0,,,,,,,,,,,658721311.0,658721311.0,1.22,1.22,,,,,,,,,,,0.0,,,,,,,,,,,,2022-12-31,
0.0,0.23641,3975600000.0,0.0,0.0,585830000.0,1835360000.0,8583230000.0,3975600000.0,2140240000.0,-1343910000.0,1343910000.0,585830000.0,558000000.0,17335420000.0,656470588.0,656470588.0,0.85,0.85,558000000.0,558000000.0,0.0,558000000.0,-22240000.0,580240000.0,608070000.0,188260000.0,796330000.0,171310000.0,0.0,-1343910000.0,1343910000.0,1995220000.0,8752190000.0,6916830000.0,1835360000.0,1835360000.0,10747410000.0,8583230000.0,19330640000.0,19330640000.0,2024-06-30 00:00:00,-27830000.0
