Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
58365323.0,58365323.0,152643670000.0,153078740000.0,-242417400000.0,-85640450000.0,-248203940000.0,-242417400000.0,-238719190000.0,-238719190000.0,-238719190000.0,,-238719190000.0,-238835920000.0,,,116730000.0,116730000.0,253869560000.0,5560000.0,460000.0,,5100000.0,0.0,0.0,253864000000.0,30260000.0,,153078740000.0,153078740000.0,2560000.0,3891870000.0,,,,3891870000.0,15150370000.0,9490310000.0,490000.0,,426720000.0,1920190000.0,1920190000.0,,,3698210000.0,,2992550000.0,,,,,,,,5660060000.0,11240000.0,,,1120710000.0,2310940000.0,,1386430000.0,,,830740000.0,395670000.0,435070000.0,,2024-03-31
58365323.0,58365323.0,151642960000.0,152226340000.0,-234360500000.0,-78458690000.0,-240639550000.0,-234360500000.0,-230685030000.0,-230685030000.0,-230685030000.0,0.0,-230685030000.0,-230801760000.0,,,116730000.0,116730000.0,246598860000.0,4110000.0,10000.0,,4100000.0,0.0,0.0,246594750000.0,92330000.0,,152226340000.0,152226340000.0,9100000.0,3421710000.0,,,,3421710000.0,15913830000.0,9958630000.0,10000.0,,433000000.0,1420840000.0,1420840000.0,,,3675470000.0,,3113090000.0,,,,,,,,5955200000.0,15650000.0,,,1065340000.0,1303190000.0,,2012730000.0,,,1558290000.0,974910000.0,583380000.0,,2023-09-30
58365323.0,58365323.0,149863380000.0,151348410000.0,-226622680000.0,-71619300000.0,-232781060000.0,-226622680000.0,-222967710000.0,-222967710000.0,-222967710000.0,,-222967710000.0,-223084450000.0,-218114230000.0,20610780000.0,116730000.0,116730000.0,240368890000.0,4100000.0,-2810000000.0,0.0,4100000.0,0.0,0.0,240364790000.0,2810000000.0,345870000.0,151348410000.0,151348410000.0,9190000.0,88661320000.0,81987590000.0,2617940000.0,135660000.0,3920130000.0,17401180000.0,9817450000.0,,1108070000.0,464360000.0,150450000.0,150450000.0,108220000.0,108220000.0,3654970000.0,3654970000.0,3274490000.0,-23233580000.0,26508070000.0,26355030000.0,38060000.0,109860000.0,5120000.0,0.0,7583730000.0,-926290000.0,0.0,6280000.0,966170000.0,1173530000.0,382360000.0,3268120000.0,-7322100000.0,10590220000.0,2169630000.0,684600000.0,1485030000.0,1485030000.0,2023-03-31
