Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Non Current Pension And Other Postretirement Benefit Plans,Other Inventories
2566000.0,2566000.0,253170000.0,864440000.0,2859130000.0,3204300000.0,984370000.0,2859130000.0,525870000.0,2865730000.0,3126170000.0,2865730000.0,2865730000.0,2840070000.0,,,25660000.0,25660000.0,1601250000.0,783250000.0,,718180000.0,457740000.0,260440000.0,65070000.0,818000000.0,16050000.0,146260000.0,68130000.0,78130000.0,,16320000.0,542430000.0,,,542430000.0,4466980000.0,2664610000.0,17820000.0,,40050000.0,3350000.0,3350000.0,6600000.0,6600000.0,2563540000.0,,2563540000.0,187480000.0,2376060000.0,,,,,1802370000.0,189780000.0,740000.0,,,902570000.0,,,,4240000.0,589080000.0,,,115960000.0,30560000.0,85400000.0,,,2024-03-31,,,
2566000.0,2566000.0,623690000.0,1343980000.0,2426800000.0,3193520000.0,598100000.0,2426800000.0,585380000.0,2434920000.0,2768490000.0,2434920000.0,2434920000.0,2409260000.0,2424550000.0,9480000.0,25660000.0,25660000.0,2175190000.0,921940000.0,10000.0,859450000.0,525880000.0,333570000.0,62490000.0,1253250000.0,12200000.0,484530000.0,59500000.0,425030000.0,9940000.0,9940000.0,724920000.0,47240000.0,650000.0,677030000.0,4610110000.0,2758760000.0,85300000.0,8590000.0,37950000.0,3530000.0,3530000.0,8120000.0,8120000.0,2681650000.0,-1062370000.0,3744020000.0,618800000.0,152160000.0,1591070000.0,1267000000.0,114990000.0,0.0,1851350000.0,197790000.0,1900000.0,660000.0,197790000.0,868140000.0,224270000.0,77480000.0,566390000.0,68010000.0,579940000.0,-90000.0,580030000.0,134910000.0,59170000.0,134910000.0,125310000.0,9600000.0,2023-03-31,,,
