Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
75218734.0,75218734.0,253620000.0,21909780000.0,24233070000.0,13755500000.0,21909780000.0,193190000.0,24172640000.0,24172640000.0,24172640000.0,24172640000.0,23420450000.0,,,752190000.0,752190000.0,5703160000.0,971200000.0,97800000.0,,225930000.0,165310000.0,165310000.0,479760000.0,4731960000.0,158600000.0,88310000.0,27880000.0,60430000.0,86300000.0,4202610000.0,,,345330000.0,3857280000.0,29875800000.0,11388340000.0,1450930000.0,,162410000.0,162410000.0,,98420000.0,2262860000.0,449750000.0,1813110000.0,7209060000.0,,7209060000.0,1041280000.0,6167780000.0,,,,18487460000.0,278950000.0,,,6666860000.0,,,,1260000.0,6519490000.0,,,5020900000.0,1738810000.0,3282090000.0,,,2024-03-31
75218734.0,75218734.0,115790000.0,19790430000.0,22130960000.0,12488430000.0,19790430000.0,61640000.0,22076810000.0,22076810000.0,22076810000.0,22076810000.0,21324620000.0,,,752190000.0,752190000.0,4933830000.0,908020000.0,121170000.0,,242620000.0,46950000.0,46950000.0,494880000.0,4025810000.0,106300000.0,68840000.0,14690000.0,54150000.0,74530000.0,3631790000.0,,,269490000.0,3362300000.0,27010640000.0,10496400000.0,1154670000.0,,118490000.0,118490000.0,,99510000.0,2286380000.0,473270000.0,1813110000.0,6679810000.0,,6679810000.0,726050000.0,5953760000.0,,,,16514240000.0,538910000.0,,,6309010000.0,,,,34190000.0,4715590000.0,,,4916540000.0,2549310000.0,2367230000.0,,,2023-09-30
75218734.0,75218734.0,305460000.0,17055550000.0,20666120000.0,11843610000.0,17055550000.0,11060000.0,20371720000.0,20371720000.0,20371720000.0,20371720000.0,19619530000.0,14010860000.0,5608670000.0,752190000.0,752190000.0,5193620000.0,920360000.0,145260000.0,147660000.0,263860000.0,6320000.0,6320000.0,502520000.0,4273260000.0,55260000.0,299140000.0,4740000.0,294400000.0,44510000.0,3798100000.0,72240000.0,33100000.0,248570000.0,3444190000.0,25565340000.0,9448470000.0,218010000.0,322720000.0,300000.0,105010000.0,300000.0,100610000.0,3316170000.0,1503060000.0,1813110000.0,5550830000.0,-4385170000.0,9936000000.0,534540000.0,6021900000.0,7532790000.0,1868670000.0,0.0,16116870000.0,575280000.0,33100000.0,607980000.0,5694900000.0,3478260000.0,701120000.0,1515520000.0,80600000.0,5757350000.0,-21890000.0,5779240000.0,3942940000.0,2358930000.0,1584010000.0,1312680000.0,271330000.0,2023-03-31
