Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Accrued Expenses,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
435181170.0,435181170.0,28104648000.0,32401579000.0,-29061400000.0,11463160000.0,-7201990000.0,-29061400000.0,3975346000.0,-16963073000.0,-552345000.0,-16036699000.0,926374000.0,-16963073000.0,-19138979000.0,,,2175906000.0,2175906000.0,75512847000.0,29130718000.0,78462000.0,,,,20276390000.0,3865662000.0,16410728000.0,44141000.0,46382129000.0,17795413000.0,12125189000.0,109684000.0,12015505000.0,,1636000.0,7416674000.0,,884000.0,7415790000.0,59476148000.0,20296009000.0,252060000.0,,116046000.0,2821184000.0,,2821184000.0,,,,230915000.0,12098327000.0,12098327000.0,4568484000.0,,4568484000.0,209756000.0,4358728000.0,,,,,39180139000.0,1328616000.0,0.0,,,30685551000.0,,,14019000.0,0.0,2032897000.0,,,5119056000.0,4797471000.0,321585000.0,,,2024-03-31
435181170.0,435181170.0,28870100000.0,33951050000.0,-27785817000.0,15319784000.0,-5450246000.0,-27785817000.0,4901252000.0,-13730014000.0,5525045000.0,-12767258000.0,962756000.0,-13730014000.0,-15905920000.0,,,2175906000.0,2175906000.0,75240017000.0,32269226000.0,425590000.0,,,,24047869000.0,4792810000.0,19255059000.0,41949000.0,42970791000.0,17507668000.0,9903181000.0,108442000.0,9794739000.0,,2105000.0,7584119000.0,,208000.0,7583911000.0,62472759000.0,24952214000.0,204341000.0,,633118000.0,4431069000.0,,4431069000.0,,,,279051000.0,14055803000.0,14055803000.0,5135095000.0,,5135095000.0,209712000.0,4925383000.0,,,,,37520545000.0,1276676000.0,0.0,,,32291127000.0,,,122192000.0,18220000.0,2570683000.0,,,1241647000.0,1061949000.0,179698000.0,,,2023-09-30
435181170.0,435181170.0,29528287000.0,34269604000.0,-24736746000.0,18652640000.0,-3579585000.0,-24736746000.0,4588622000.0,-11028342000.0,8508668000.0,-10145373000.0,882969000.0,-11028342000.0,-13204248000.0,-29656823000.0,14868357000.0,2175906000.0,2175906000.0,73899306000.0,31702565000.0,77835000.0,36864000.0,5486776000.0,55366000.0,24016622000.0,4479612000.0,19537010000.0,36864000.0,42196741000.0,947000.0,10252982000.0,109010000.0,10143972000.0,1374000.0,1374000.0,15061127000.0,7898858000.0,423000.0,7161846000.0,63753933000.0,25136777000.0,5690000.0,153205000.0,982680000.0,3612052000.0,1620000000.0,1887287000.0,104765000.0,24481000.0,24481000.0,282164000.0,13708404000.0,13708404000.0,5506384000.0,-918862000.0,6425246000.0,2980887000.0,3301312000.0,111700000.0,0.0,31347000.0,0.0,38617156000.0,22560000.0,0.0,779431000.0,1068800000.0,33579226000.0,233758000.0,33345468000.0,414945000.0,,2599499000.0,-58560000.0,2658059000.0,152695000.0,1247952000.0,152695000.0,20000000.0,132695000.0,2023-03-31
