Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Accrued Expenses,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
1576152814.0,1576152814.0,17097400000.0,22225400000.0,-2359500000.0,19399900000.0,9266200000.0,-2359500000.0,1140700000.0,-1684800000.0,15030400000.0,-1684800000.0,0.0,-1684800000.0,-3197900000.0,,,1513100000.0,1513100000.0,92278600000.0,33256400000.0,,,,17684100000.0,968900000.0,16715200000.0,866800000.0,59022200000.0,16511700000.0,4541300000.0,171800000.0,4369500000.0,3067400000.0,24737000000.0,,,2100000.0,24734900000.0,90593800000.0,22305400000.0,1188700000.0,,6234300000.0,486100000.0,,486100000.0,2068200000.0,,,34500000.0,674700000.0,640900000.0,33800000.0,3785300000.0,,3785300000.0,8400000.0,3776900000.0,,,,,68288400000.0,2010400000.0,0.0,,,4363100000.0,,,,34142900000.0,22041700000.0,,,5730300000.0,1743000000.0,3987300000.0,,2024-03-31
1576152813.0,1576152813.0,20325800000.0,25828800000.0,-7226200000.0,17432900000.0,5088100000.0,-7226200000.0,1841800000.0,-6554100000.0,13127200000.0,-6554100000.0,0.0,-6554100000.0,-8067200000.0,,,1513100000.0,1513100000.0,109889500000.0,38276900000.0,,,,21272100000.0,1590800000.0,19681300000.0,1122900000.0,71612600000.0,18735700000.0,4556700000.0,251000000.0,4305700000.0,4990400000.0,24158400000.0,,,105300000.0,24053100000.0,103335400000.0,26634700000.0,1179100000.0,,7798500000.0,404400000.0,,404400000.0,876700000.0,,,34100000.0,672100000.0,638300000.0,33800000.0,4828400000.0,,4828400000.0,1200000.0,4827200000.0,,,,,76700700000.0,2663000000.0,6911400000.0,,,4640000000.0,,,,37767600000.0,17405600000.0,,,7313100000.0,3651900000.0,3661200000.0,,2023-09-30
1576152813.0,1576152813.0,47126100000.0,55115700000.0,-7898600000.0,45801400000.0,6078800000.0,-7898600000.0,2170500000.0,-7143800000.0,41367300000.0,-7143800000.0,0.0,-7143800000.0,200000.0,-36222000000.0,26508700000.0,1513100000.0,1513100000.0,138943100000.0,68722300000.0,100000.0,16563600000.0,0.0,50368100000.0,1857000000.0,48511100000.0,1266800000.0,70220800000.0,481100000.0,4747600000.0,313500000.0,4434100000.0,6019400000.0,36033100000.0,6031300000.0,0.0,89700000.0,29912100000.0,131799300000.0,55499700000.0,2100000.0,540400000.0,7820200000.0,31375600000.0,0.0,31375600000.0,596600000.0,0.0,596600000.0,28400000.0,754800000.0,721000000.0,33800000.0,6083200000.0,-8791700000.0,14874900000.0,633900000.0,5448900000.0,9681000000.0,4199000000.0,361000000.0,0.0,76299600000.0,101500000.0,21900000.0,167600000.0,2528100000.0,4905200000.0,46100000.0,3197300000.0,1661800000.0,34424400000.0,21806800000.0,0.0,21806800000.0,12344100000.0,6525000000.0,5819100000.0,5819100000.0,2023-03-31
