Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Pensionand Other Post Retirement Benefit Plans Current
994456213.0,994456213.0,58529000000.0,76976000000.0,170135000000.0,251492000000.0,171302000000.0,170135000000.0,177000000.0,174693000000.0,194394000000.0,175340000000.0,647000000.0,174693000000.0,164748000000.0,,,,9945000000.0,9945000000.0,296912000000.0,22638000000.0,,476000000.0,,1637000000.0,19832000000.0,131000000.0,19701000000.0,247000000.0,274274000000.0,116295000000.0,,57144000000.0,46000000.0,57098000000.0,89000000.0,25376000000.0,,62000000.0,25314000000.0,472252000000.0,26676000000.0,715000000.0,,277000000.0,9420000000.0,,9420000000.0,,2796000000.0,1463000000.0,4558000000.0,38000000.0,4520000000.0,5709000000.0,,5709000000.0,,5709000000.0,,,,,445576000000.0,12985000000.0,,,339930000000.0,,,,11447000000.0,,7999000000.0,,,73215000000.0,54945000000.0,18270000000.0,,,2024-03-31,
964370053.0,964370053.0,75891000000.0,87403000000.0,124565000000.0,217088000000.0,128091000000.0,124565000000.0,201000000.0,129886000000.0,155929000000.0,130499000000.0,613000000.0,129886000000.0,120242000000.0,,,,9644000000.0,9644000000.0,279717000000.0,30784000000.0,,1120000000.0,,410000000.0,26196000000.0,153000000.0,26043000000.0,248000000.0,248933000000.0,117965000000.0,,61207000000.0,48000000.0,61159000000.0,82000000.0,21353000000.0,,13000000.0,21340000000.0,410216000000.0,33192000000.0,943000000.0,,1671000000.0,3377000000.0,,3377000000.0,,243000000.0,1501000000.0,5321000000.0,18000000.0,5303000000.0,11817000000.0,,11817000000.0,,11817000000.0,,,,,377024000000.0,13904000000.0,,,311454000000.0,,,,4637000000.0,,6827000000.0,,,40202000000.0,28891000000.0,11311000000.0,,,2023-09-30,
963577748.0,963577748.0,77378000000.0,90603000000.0,121319000000.0,217112000000.0,118909000000.0,121319000000.0,117000000.0,126626000000.0,149194000000.0,127222000000.0,596000000.0,126626000000.0,1053000000.0,4333000000.0,51533000000.0,65624000000.0,4818000000.0,4818000000.0,264327000000.0,25739000000.0,223000000.0,1297000000.0,0.0,332000000.0,22668000000.0,100000000.0,22568000000.0,223100000.0,238588000000.0,18164000000.0,367000000.0,67935000000.0,17000000.0,67918000000.0,79000000.0,21913000000.0,1477000000.0,771000000.0,19665000000.0,391549000000.0,34052000000.0,1000000.0,254000000.0,2432000000.0,1887000000.0,465000000.0,847000000.0,575000000.0,227000000.0,1539000000.0,5307000000.0,4000000.0,5303000000.0,11428000000.0,-7512000000.0,18940000000.0,0.0,123000000.0,6417000000.0,5604000000.0,6796000000.0,0.0,357497000000.0,9765100000.0,5134000000.0,17093000000.0,301167000000.0,55066000000.0,245057000000.0,1044000000.0,10068000000.0,2566000000.0,7393000000.0,-25000000.0,7418000000.0,14076000000.0,968000000.0,13108000000.0,0.0,13108000000.0,2023-03-31,
