Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Fixed Assets Revaluation Reserve,Goodwill
0.0,162697971.0,162697971.0,816206000.0,1023828000.0,401816000.0,1258776000.0,-639920000.0,401816000.0,169753000.0,404701000.0,404701000.0,404701000.0,,404701000.0,-408789000.0,,,813490000.0,813490000.0,2915859000.0,232683000.0,,17778000.0,21408000.0,159192000.0,159192000.0,0.0,34305000.0,2683176000.0,87019000.0,864636000.0,10561000.0,854075000.0,,805000.0,616354000.0,,,0.0,616354000.0,3320560000.0,1277304000.0,46000.0,,6066000.0,55022000.0,55022000.0,2885000.0,,1213285000.0,,1213285000.0,870000.0,1212415000.0,,,,,2043256000.0,68146000.0,1193158000.0,,,223397000.0,,,,35000000.0,29931000.0,242500000.0,,,251124000.0,213255000.0,37869000.0,,,2024-03-31,,
,162697971.0,162697971.0,1460704000.0,1691862000.0,662306000.0,2144849000.0,-1820394000.0,662306000.0,212825000.0,665812000.0,665812000.0,665812000.0,0.0,665812000.0,-147678000.0,,,813490000.0,813490000.0,3009840000.0,295362000.0,,34536000.0,38517000.0,182697000.0,182697000.0,,38657000.0,2714478000.0,80844000.0,1509165000.0,30128000.0,1479037000.0,,197000.0,468882000.0,,,1519000.0,467363000.0,3675652000.0,2781568000.0,338000.0,,6066000.0,63344000.0,63344000.0,3506000.0,,2708314000.0,,2708314000.0,936846000.0,1771468000.0,,,,,894084000.0,81545000.0,,,,261352000.0,,,,35000000.0,781000.0,317929000.0,,,197477000.0,179144000.0,18333000.0,,,2023-09-30,,
,162697971.0,162697971.0,1541287000.0,1834926000.0,750673000.0,2343331000.0,-1859219000.0,750673000.0,246203000.0,754608000.0,754608000.0,754608000.0,0.0,754608000.0,-1000.0,-3534749000.0,3306411000.0,813490000.0,813490000.0,3041449000.0,345034000.0,35206000.0,55172000.0,35231000.0,218500000.0,218500000.0,0.0,35206000.0,2696415000.0,24093000.0,1616426000.0,27703000.0,1588723000.0,444000.0,444000.0,701877000.0,240049000.0,605000.0,11074000.0,450149000.0,3796057000.0,2958861000.0,1046000.0,19418000.0,31198000.0,100419000.0,100419000.0,3935000.0,3935000.0,2822263000.0,-2035343000.0,4857606000.0,916369000.0,530177000.0,2352920000.0,985334000.0,72806000.0,0.0,837196000.0,75916000.0,,17981000.0,38504000.0,241633000.0,90437000.0,41060000.0,110136000.0,102502000.0,571000.0,388569000.0,-10361000.0,398930000.0,47436000.0,47466000.0,47436000.0,5118000.0,42318000.0,2023-03-31,,
