Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Accrued Expenses,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investmentsin Subsidiariesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Other Inventories
1429999.0,154512297.0,155942296.0,17394100000.0,21515500000.0,64123600000.0,86047300000.0,17077200000.0,64123600000.0,689200000.0,65221000000.0,79066400000.0,65221000000.0,65221000000.0,64907500000.0,,,313500000.0,313500000.0,50269900000.0,22605300000.0,44600000.0,,,5246400000.0,14377000000.0,531600000.0,13845400000.0,2936900000.0,27664600000.0,5911500000.0,7138500000.0,157600000.0,6980900000.0,698600000.0,10418100000.0,,,16900000.0,10401200000.0,115490900000.0,70749100000.0,988500000.0,,19100000.0,1059200000.0,,1059200000.0,,,,,7000000.0,1097400000.0,285900000.0,811500000.0,67266600000.0,,67266600000.0,25968000000.0,41298600000.0,,,,,44741800000.0,3246600000.0,,142500000.0,,,26770500000.0,,,,46200000.0,1087900000.0,6458700000.0,,,6989400000.0,3557200000.0,3432200000.0,,,2024-03-31,
1427999.0,154514297.0,155942296.0,1911700000.0,15393100000.0,61185200000.0,76968700000.0,16548600000.0,61185200000.0,666500000.0,62242100000.0,74891900000.0,62242100000.0,62242100000.0,61928600000.0,,,313500000.0,313500000.0,47563700000.0,20923100000.0,47400000.0,,,4937200000.0,13155400000.0,505600000.0,12649800000.0,2782800000.0,26640600000.0,10960300000.0,2237700000.0,160900000.0,2076800000.0,618700000.0,9487700000.0,,,27700000.0,9460000000.0,109805800000.0,66616600000.0,651700000.0,,17200000.0,1006300000.0,,1006300000.0,,,,,7000000.0,1056900000.0,245400000.0,811500000.0,63620100000.0,,63620100000.0,23578600000.0,40041500000.0,,,,,43189200000.0,3759700000.0,,160600000.0,,,14163800000.0,,,,113200000.0,1428800000.0,6451800000.0,,,17111300000.0,4296400000.0,12814900000.0,,,2023-09-30,
1161474.0,154780822.0,155942296.0,11829500000.0,17072900000.0,60891100000.0,78268500000.0,21435600000.0,60891100000.0,741900000.0,61937500000.0,73474900000.0,61937500000.0,61937500000.0,-53600000.0,54744100000.0,127100000.0,313500000.0,313500000.0,45281000000.0,19620300000.0,61700000.0,300000.0,100000.0,4745500000.0,12149300000.0,611900000.0,11537400000.0,2663100000.0,25660700000.0,3552500000.0,4923600000.0,130000000.0,4793600000.0,615000000.0,12447800000.0,2226200000.0,98300000.0,15900000.0,10107400000.0,107218500000.0,60128900000.0,126100000.0,2210000000.0,18600000.0,125700000.0,600000.0,124300000.0,800000.0,87400000.0,86800000.0,600000.0,7000000.0,1046400000.0,234900000.0,811500000.0,56299000000.0,-11417000000.0,67716000000.0,16182600000.0,40116400000.0,42859400000.0,6752200000.0,1921800000.0,0.0,47096300000.0,68000000.0,57500000.0,233200000.0,669900000.0,1251200000.0,23764700000.0,15729500000.0,1923500000.0,6111700000.0,2293400000.0,1124100000.0,8482100000.0,-634300000.0,9116400000.0,9152200000.0,4650700000.0,4501500000.0,3703500000.0,798000000.0,2023-03-31,
