Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
364.0,52952312.0,52952676.0,123000000.0,423400000.0,4220500000.0,5483700000.0,1880300000.0,4220500000.0,207400000.0,5267700000.0,5376800000.0,5276300000.0,8600000.0,5267700000.0,4738200000.0,,,529500000.0,529500000.0,1162500000.0,257700000.0,,0.0,227100000.0,118000000.0,109100000.0,30600000.0,904800000.0,91600000.0,,196300000.0,89400000.0,106900000.0,28100000.0,414000000.0,,,12900000.0,401100000.0,6438800000.0,3653700000.0,37000000.0,,148200000.0,52200000.0,52200000.0,256200000.0,,1047200000.0,6900000.0,1040300000.0,2037100000.0,,2037100000.0,25500000.0,2011600000.0,,,,,2785100000.0,75600000.0,,,,475200000.0,,,,434700000.0,,,1799600000.0,1706600000.0,93000000.0,,2024-03-31
364.0,52929679.0,52930043.0,92400000.0,470200000.0,3849700000.0,5101600000.0,1404300000.0,3849700000.0,231100000.0,4862500000.0,5016600000.0,4876400000.0,13900000.0,4862500000.0,4333200000.0,,,529300000.0,529300000.0,1050500000.0,364200000.0,,,307500000.0,153400000.0,154100000.0,56700000.0,686300000.0,85300000.0,,162700000.0,77700000.0,85000000.0,9400000.0,278500000.0,,,100400000.0,178100000.0,5926900000.0,3836300000.0,248900000.0,,133000000.0,289900000.0,289900000.0,,,1012800000.0,10000000.0,1002800000.0,1934800000.0,,1934800000.0,28300000.0,1906500000.0,,,,,2090600000.0,159400000.0,,,,322800000.0,,,,553600000.0,,,1054800000.0,908100000.0,146700000.0,,2023-09-30
364.0,52929679.0,52930043.0,,233100000.0,4332300000.0,5343000000.0,1958400000.0,4332300000.0,233100000.0,5343000000.0,5343000000.0,5352200000.0,9200000.0,5343000000.0,234500000.0,3434200000.0,736200000.0,529300000.0,529300000.0,975000000.0,204000000.0,33000000.0,9800000.0,161200000.0,161200000.0,,33000000.0,771000000.0,79100000.0,100400000.0,71900000.0,71900000.0,,40400000.0,341700000.0,100200000.0,1600000.0,18300000.0,239900000.0,6327200000.0,3597800000.0,50700000.0,297000000.0,122700000.0,62900000.0,62900000.0,221000000.0,221000000.0,1010700000.0,7900000.0,1002800000.0,1944300000.0,-1650200000.0,3594500000.0,16100000.0,1928200000.0,2627200000.0,634800000.0,316400000.0,0.0,2729400000.0,53200000.0,0.0,107000000.0,88300000.0,276700000.0,16400000.0,260300000.0,5500000.0,851200000.0,-214100000.0,1065300000.0,1400700000.0,1223000000.0,177700000.0,177700000.0,2023-03-31
364.0,52929679.0,52930043.0,,197500000.0,4124400000.0,5137400000.0,1746800000.0,4124400000.0,197500000.0,5137400000.0,5137400000.0,5143000000.0,5600000.0,5137400000.0,4608300000.0,,,529100000.0,529100000.0,866200000.0,154900000.0,,17400000.0,135900000.0,135900000.0,,1600000.0,711300000.0,71600000.0,,61600000.0,61600000.0,,77600000.0,328800000.0,,,7500000.0,321300000.0,6009200000.0,3551100000.0,50000000.0,,99800000.0,67100000.0,67100000.0,217700000.0,,1013000000.0,10200000.0,1002800000.0,1926400000.0,,1926400000.0,171600000.0,1754800000.0,,,,,2458100000.0,104300000.0,,,100000.0,248900000.0,,,100000.0,891300000.0,,,1213500000.0,1134600000.0,78900000.0,,2022-12-31
