Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Inventory,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
0.0,248938586.0,248938586.0,2049700000.0,19784100000.0,20196500000.0,7269400000.0,19784100000.0,1864300000.0,20011100000.0,20011100000.0,20011100000.0,20011100000.0,19762200000.0,248900000.0,248900000.0,7128000000.0,1933500000.0,237400000.0,1504300000.0,1504300000.0,191800000.0,5194500000.0,677500000.0,545400000.0,360000000.0,185400000.0,401000000.0,2579900000.0,33200000.0,2546700000.0,27139100000.0,14675200000.0,175200000.0,455000000.0,455000000.0,227000000.0,227000000.0,13816700000.0,13816700000.0,325200000.0,13491500000.0,12463900000.0,1067400000.0,5988000000.0,5400000.0,3577400000.0,1825700000.0,1422200000.0,403500000.0,2024-03-31
,248938586.0,248938586.0,1640800000.0,18231100000.0,18550500000.0,7229800000.0,18231100000.0,1640800000.0,18550500000.0,18550500000.0,18550500000.0,18550500000.0,18301600000.0,248900000.0,248900000.0,6397400000.0,1690900000.0,214600000.0,1282800000.0,1282800000.0,193500000.0,4706500000.0,251400000.0,358000000.0,358000000.0,0.0,,3454800000.0,29200000.0,3425600000.0,24947900000.0,13011600000.0,192600000.0,426900000.0,426900000.0,319400000.0,319400000.0,12072400000.0,12072400000.0,877700000.0,11194700000.0,11936300000.0,819900000.0,5637800000.0,5800000.0,2703400000.0,2769400000.0,2666700000.0,102700000.0,2023-03-31
