Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
17175700.0,17175700.0,703560000.0,803836000.0,2633947000.0,3344183000.0,106013000.0,2633947000.0,93843000.0,2634190000.0,2880523000.0,2634190000.0,2634190000.0,2462433000.0,,,171757000.0,171757000.0,1257751000.0,412894000.0,,25187000.0,318545000.0,72212000.0,246333000.0,69162000.0,844857000.0,10697000.0,,485291000.0,21631000.0,463660000.0,27188000.0,200388000.0,,,10035000.0,190353000.0,3891941000.0,2941071000.0,70588000.0,,74776000.0,74776000.0,67376000.0,243000.0,243000.0,2643878000.0,,2643878000.0,147857000.0,2496021000.0,,,,,950870000.0,55388000.0,5618000.0,,,420662000.0,,,,,,423373000.0,,,45829000.0,39396000.0,6433000.0,,2024-03-31
17175700.0,17175700.0,629460000.0,677010000.0,2542891000.0,3183843000.0,139779000.0,2542891000.0,36749000.0,2543582000.0,2636404000.0,2543582000.0,2543582000.0,2371825000.0,,,171757000.0,171757000.0,1036978000.0,200013000.0,,19361000.0,117932000.0,25110000.0,92822000.0,62720000.0,836965000.0,11255000.0,,559078000.0,11639000.0,547439000.0,27724000.0,198120000.0,,,3529000.0,194591000.0,3580560000.0,2603816000.0,89623000.0,,63542000.0,63542000.0,69116000.0,691000.0,691000.0,2290286000.0,,2290286000.0,107273000.0,2183013000.0,,,,,976744000.0,76915000.0,5618000.0,,,414875000.0,,,,,,451876000.0,,,27460000.0,16659000.0,10801000.0,,2023-09-30
17175700.0,17175700.0,588232000.0,630478000.0,2430894000.0,3043872000.0,137074000.0,2430894000.0,18707000.0,2432101000.0,2582529000.0,2432101000.0,2432101000.0,2260344000.0,1718609000.0,543562000.0,171757000.0,171757000.0,972378000.0,237535000.0,56344000.0,25770000.0,155421000.0,4993000.0,150428000.0,56344000.0,734843000.0,1000000.0,3529000.0,475057000.0,13714000.0,461343000.0,30484000.0,217030000.0,45425000.0,1379000.0,3529000.0,170226000.0,3404479000.0,2532562000.0,41982000.0,137874000.0,1613000.0,1613000.0,70852000.0,1207000.0,1207000.0,2313623000.0,-1548258000.0,3861881000.0,103148000.0,2210475000.0,1845035000.0,1489286000.0,424412000.0,0.0,871917000.0,32675000.0,5618000.0,1379000.0,25875000.0,374804000.0,7987000.0,15636000.0,122366000.0,228815000.0,74385000.0,365708000.0,-40639000.0,406347000.0,24148000.0,609000.0,23539000.0,23539000.0,2023-03-31
