Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
415360000.0,0.4,3309400000.0,1038400000.0,1038400000.0,742500000.0,2424300000.0,120100000.0,4347800000.0,1923500000.0,-1209600000.0,1209600000.0,,119460000.0,742500000.0,4856400000.0,,,,,610800000.0,610800000.0,0.0,610800000.0,610800000.0,-131700000.0,742500000.0,-28600000.0,713900000.0,903200000.0,1038400000.0,-1038400000.0,-1209600000.0,1209600000.0,,-27300000.0,4736300000.0,1322700000.0,2424300000.0,2424300000.0,4709000000.0,120100000.0,4829100000.0,4829100000.0,2024-03-31
-63456207.7267,0.253926,4339400000.0,-249900000.0,-249900000.0,1301600000.0,1121200000.0,101300000.0,4089500000.0,2968300000.0,-1223700000.0,1223700000.0,,1488043792.2733,1301600000.0,2869600000.0,3970571429.0,3970571429.0,0.35,0.35,1389700000.0,1389700000.0,0.0,1389700000.0,1389700000.0,88100000.0,1301600000.0,443000000.0,1744600000.0,644100000.0,-249900000.0,249900000.0,-1223700000.0,1223700000.0,,2563500000.0,2768300000.0,992300000.0,1121200000.0,1121200000.0,5331800000.0,101300000.0,5433100000.0,5433100000.0,2023-12-31
0.0,0.232955,7806000000.0,0.0,0.0,4253800000.0,1018800000.0,121600000.0,7806000000.0,6787200000.0,-1241500000.0,1241500000.0,,4253800000.0,4253800000.0,2740700000.0,3925357143.0,3925357143.0,1.12,1.12,4396400000.0,4396400000.0,0.0,4396400000.0,4396400000.0,142600000.0,4253800000.0,1291900000.0,5545700000.0,732600000.0,0.0,,-1241500000.0,1241500000.0,,6042900000.0,2619100000.0,967400000.0,1018800000.0,1018800000.0,8662000000.0,121600000.0,8783600000.0,8783600000.0,2023-09-30
0.0,0.290155,5733400000.0,0.0,0.0,2717500000.0,1007100000.0,56800000.0,5733400000.0,4726300000.0,-898000000.0,898000000.0,,2717500000.0,2717500000.0,2728000000.0,3938405797.0,3938405797.0,0.69,0.69,2717500000.0,2717500000.0,0.0,2717500000.0,2717500000.0,,2717500000.0,1110800000.0,3828300000.0,696000000.0,0.0,,-898000000.0,898000000.0,,4019900000.0,2671200000.0,983300000.0,1007100000.0,1007100000.0,6691100000.0,56800000.0,6747900000.0,6747900000.0,2023-06-30
495143914.494007,0.390584,674600000.0,1267700000.0,1267700000.0,1479600000.0,855200000.0,,1942300000.0,1087100000.0,2801400000.0,-1340800000.0,1767600000.0,707043914.494007,1479600000.0,2238700000.0,,,,,172100000.0,172100000.0,0.0,172100000.0,172100000.0,-1307500000.0,1479600000.0,948300000.0,2427900000.0,-1121400000.0,124900000.0,,2801400000.0,-1340800000.0,1767600000.0,1629600000.0,1252100000.0,-1444300000.0,855200000.0,683100000.0,,,3868300000.0,3868300000.0,2023-03-31
,,,,,,,0.0,,,,,,,,,3937260274.0,3937260274.0,0.73,0.73,,,,,,343600000.0,,,,,,175500000.0,,,,,,,,,5519900000.0,0.0,,,2022-12-31
0.0,0.216779,7564900000.0,0.0,0.0,3782800000.0,1308900000.0,192700000.0,7564900000.0,6256000000.0,-1426200000.0,1426200000.0,,3782800000.0,3782800000.0,3337700000.0,3719687500.0,3719687500.0,0.96,0.96,3570900000.0,3570900000.0,0.0,3570900000.0,3570900000.0,-211900000.0,3782800000.0,1047000000.0,4829800000.0,881000000.0,0.0,,-1426200000.0,1426200000.0,,5366000000.0,3145000000.0,1034500000.0,1308900000.0,1308900000.0,8511000000.0,192700000.0,8703700000.0,8703700000.0,2024-06-30 00:00:00
