Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.276333,1560500000.0,0.0,0.0,645800000.0,417500000.0,1967600000.0,1560500000.0,1143000000.0,-250600000.0,250600000.0,645800000.0,645800000.0,5184100000.0,,,,,645800000.0,645800000.0,0.0,645800000.0,645800000.0,0.0,645800000.0,246600000.0,892400000.0,78400000.0,0.0,0.0,0.0,-250600000.0,250600000.0,1064600000.0,3216500000.0,2279600000.0,417500000.0,417500000.0,4281100000.0,1967600000.0,6248700000.0,6248700000.0,2024-03-31
0.0,0.261769,1533800000.0,0.0,0.0,671200000.0,417200000.0,1832700000.0,1533800000.0,1116600000.0,-207400000.0,207400000.0,671200000.0,671200000.0,5137900000.0,64725169.0,64725169.0,10.37,10.37,671200000.0,671200000.0,0.0,671200000.0,671200000.0,0.0,671200000.0,238000000.0,909200000.0,31900000.0,0.0,0.0,0.0,-207400000.0,207400000.0,1084700000.0,3305200000.0,2400100000.0,417200000.0,417200000.0,4389900000.0,1832700000.0,6222600000.0,6222600000.0,2023-12-31
0.0,0.245937,1388200000.0,0.0,0.0,561400000.0,410800000.0,1828500000.0,1388200000.0,977400000.0,-232900000.0,232900000.0,561400000.0,561400000.0,5222000000.0,64677419.0,64677419.0,8.68,8.68,561400000.0,561400000.0,0.0,561400000.0,561400000.0,0.0,561400000.0,183100000.0,744500000.0,46600000.0,0.0,0.0,0.0,-232900000.0,232900000.0,930800000.0,3393500000.0,2459200000.0,410800000.0,410800000.0,4324300000.0,1828500000.0,6152800000.0,6152800000.0,2023-09-30
0.0,0.25586,1400300000.0,0.0,0.0,634900000.0,367800000.0,1769200000.0,1400300000.0,1032500000.0,-179300000.0,179300000.0,634900000.0,634900000.0,4636900000.0,64719674.0,64719674.0,9.81,9.81,634900000.0,634900000.0,0.0,634900000.0,634900000.0,0.0,634900000.0,218300000.0,853200000.0,84700000.0,0.0,0.0,,-179300000.0,179300000.0,947800000.0,2867700000.0,2057200000.0,367800000.0,367800000.0,3815500000.0,1769200000.0,5584700000.0,5584700000.0,2023-06-30
-4554017.858084,0.278704,1971457000.0,-16340000.0,-16340000.0,958385000.0,376697000.0,4618270000.0,1955117000.0,1578420000.0,-214543000.0,249722000.0,970170982.141916,1087958000.0,4805530000.0,,,,,1087958000.0,1087958000.0,0.0,1087958000.0,1087958000.0,129573000.0,958385000.0,370313000.0,1328698000.0,-21209000.0,-16340000.0,-5877000.0,0.0,-214543000.0,249722000.0,1747669000.0,187260000.0,-827198000.0,376697000.0,371379000.0,1934929000.0,4618270000.0,6553199000.0,6553199000.0,2023-03-31
,,,,,,,,,,,,,,,64665043.0,64665043.0,8.21,8.21,,,,,,,,,,,,,-15600000.0,,,,,,,,,,,,2022-12-31
0.0,0.250741,1466200000.0,0.0,0.0,632300000.0,418900000.0,1696500000.0,1466200000.0,1047300000.0,-203400000.0,203400000.0,632300000.0,632300000.0,4718100000.0,64718526.0,64718526.0,9.77,9.77,632300000.0,632300000.0,0.0,632300000.0,632300000.0,,632300000.0,211600000.0,843900000.0,102100000.0,0.0,,,-203400000.0,203400000.0,945200000.0,3021600000.0,2081300000.0,418900000.0,418900000.0,3966800000.0,1696500000.0,5663300000.0,5663300000.0,2024-06-30 00:00:00
