Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
106200698.0,106200698.0,12629000000.0,24429800000.0,18049600000.0,42479400000.0,18049600000.0,18049600000.0,42479400000.0,18049600000.0,18049600000.0,,,,1062000000.0,1062000000.0,105727300000.0,24429800000.0,,,123776900000.0,25993000000.0,25993000000.0,,,1687900000.0,,,,,,,,11800800000.0,,8137800000.0,2024-03-31,
106163548.0,106163548.0,19751100000.0,25630300000.0,17426500000.0,43056800000.0,17426500000.0,17426500000.0,43056800000.0,17426500000.0,17426500000.0,,,,1061600000.0,1061600000.0,93790900000.0,25630300000.0,,,111217400000.0,28537700000.0,28537700000.0,,,1649300000.0,,,,,,,,5879200000.0,,5044900000.0,2023-12-31,
106161624.0,106161624.0,17540400000.0,24799000000.0,16840800000.0,41639800000.0,16840800000.0,16840800000.0,41639800000.0,16840800000.0,16840800000.0,100000.0,,,1061600000.0,1061600000.0,91723000000.0,24799000000.0,,,108563800000.0,29049300000.0,29049300000.0,,,1621800000.0,,,,,,,,7258600000.0,,6320300000.0,2023-09-30,
106160499.0,106160499.0,17004400000.0,25484500000.0,16330000000.0,41814500000.0,16330000000.0,16330000000.0,41814500000.0,16330000000.0,16330000000.0,200000.0,,200000.0,1061600000.0,1061600000.0,85748000000.0,25484500000.0,,,102078000000.0,27216400000.0,27216400000.0,,,1580500000.0,,,,,,,,8480100000.0,,4508100000.0,2023-06-30,
106158749.0,106158749.0,12082047000.0,20413061000.0,15847275000.0,36260336000.0,15847275000.0,15847275000.0,36260336000.0,15847275000.0,15847275000.0,87796000.0,1513877000.0,11865295000.0,1061587000.0,1061587000.0,82764937000.0,20413061000.0,494460000.0,494460000.0,98612212000.0,25701865000.0,25701865000.0,986571000.0,0.0,1644775000.0,-960845000.0,2605620000.0,13262000.0,2560486000.0,31872000.0,103249000.0,820279000.0,8331014000.0,0.0,77702000.0,2023-03-31,
106238175.0,106238175.0,14191300000.0,23405400000.0,18783500000.0,42188900000.0,18783500000.0,18783500000.0,42188900000.0,18783500000.0,18783500000.0,,,,1062400000.0,1062400000.0,108660600000.0,23405400000.0,,,127444100000.0,30105100000.0,30105100000.0,,,1814300000.0,,,,,,,,9214100000.0,,7371700000.0,2024-06-30 00:00:00,
