Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Taxes Assets,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number
142564121.0,142564121.0,2541891000.0,2558699000.0,5461082000.0,8102209000.0,4492135000.0,5461082000.0,742000.0,5544252000.0,6075599000.0,5629351000.0,85099000.0,5544252000.0,5401700000.0,2659591000.0,2511281000.0,142564000.0,142564000.0,6053675000.0,659985000.0,71500000.0,57096000.0,71542000.0,0.0,531347000.0,0.0,531347000.0,57100000.0,5393690000.0,18903000.0,130002000.0,2027352000.0,742000.0,2026610000.0,44597000.0,21131000.0,2442487000.0,33678000.0,81000.0,130000000.0,2408728000.0,11683026000.0,1797201000.0,-676000.0,75274000.0,36417000.0,4550000.0,4550000.0,,,,83170000.0,83170000.0,1406105000.0,-1267437000.0,2673542000.0,36150000.0,113216000.0,1669935000.0,806992000.0,47249000.0,0.0,9885825000.0,647900000.0,0.0,256412000.0,662665000.0,2748315000.0,-15310000.0,1328798000.0,415174000.0,,1019653000.0,24192000.0,700000.0,6140905000.0,-286090000.0,6426995000.0,53336000.0,37270000.0,16066000.0,735000.0,15331000.0,2024-03-31,
132564110.0,132564110.0,3816500000.0,3833700000.0,3767700000.0,7641500000.0,2778000000.0,3767700000.0,4300000.0,3812100000.0,4407500000.0,3886200000.0,74100000.0,3812100000.0,3679500000.0,,,132600000.0,132600000.0,8777700000.0,686000000.0,42400000.0,,,700000.0,595400000.0,0.0,595400000.0,47500000.0,8091700000.0,1488300000.0,,3238300000.0,4300000.0,3234000000.0,,10100000.0,3315100000.0,,,13200000.0,3301900000.0,12663900000.0,1794200000.0,117800000.0,,4900000.0,110300000.0,110300000.0,,,,44400000.0,44400000.0,1460500000.0,,1460500000.0,59400000.0,1401100000.0,,,,,10869700000.0,746100000.0,,,,3731200000.0,,,,,,4500000.0,9000000.0,6073800000.0,,,305100000.0,292200000.0,12900000.0,,,2023-09-30,
132564110.0,132564110.0,3247517000.0,3302510000.0,3873499000.0,7227209000.0,2819892000.0,3873499000.0,7503000.0,3932202000.0,4570104000.0,4008660000.0,76458000.0,3932202000.0,-9109000.0,2227946000.0,1347485000.0,132564000.0,132564000.0,7848155000.0,771286000.0,71300000.0,42793000.0,71302000.0,18426000.0,638765000.0,863000.0,637902000.0,42793000.0,7076869000.0,30349000.0,120822000.0,2663745000.0,6640000.0,2657105000.0,57693000.0,8185000.0,3492484000.0,28766000.0,47000.0,120800000.0,3463671000.0,11856815000.0,1960054000.0,-6777000.0,161401000.0,2000.0,3513000.0,3513000.0,3513000.0,0.0,0.0,58703000.0,58703000.0,1512659000.0,-1049648000.0,2562307000.0,33683000.0,119627000.0,1554410000.0,807338000.0,47249000.0,0.0,9896761000.0,2698000.0,,181276000.0,573301000.0,2713852000.0,-15546000.0,1103318000.0,679733000.0,1076534000.0,946347000.0,20490000.0,400000.0,6352656000.0,-262273000.0,6614929000.0,52488000.0,4998000.0,47490000.0,734000.0,46756000.0,2023-03-31,
150082917.0,150082917.0,2375800000.0,2440700000.0,10936300000.0,13473100000.0,9122200000.0,10936300000.0,500000.0,11032900000.0,11224200000.0,11132400000.0,99500000.0,11032900000.0,10882800000.0,,,150100000.0,150100000.0,6420200000.0,312100000.0,57800000.0,,,0.0,191300000.0,0.0,191300000.0,63000000.0,6108100000.0,802100000.0,,2249400000.0,500000.0,2248900000.0,,21000000.0,3002100000.0,,,225200000.0,2776900000.0,17552600000.0,2322300000.0,335100000.0,,38500000.0,186900000.0,186900000.0,,,,96600000.0,96600000.0,1598500000.0,,1598500000.0,214100000.0,1384400000.0,,,,,15230300000.0,1105500000.0,0.0,,,3538800000.0,,,,,,4900000.0,800000.0,6583900000.0,,,3996400000.0,3932000000.0,64400000.0,,,2024-09-30 00:00:00,0.0
