Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
53206281.0,53206281.0,2396720000.0,2690200000.0,5437340000.0,8696440000.0,221220000.0,5437340000.0,122380000.0,6128620000.0,7148690000.0,6128620000.0,6128620000.0,6022210000.0,,,106410000.0,106410000.0,3593220000.0,1461670000.0,245210000.0,,92160000.0,1117590000.0,97520000.0,1020070000.0,1810000.0,2131550000.0,40430000.0,,1572610000.0,24860000.0,1547750000.0,,24200000.0,167150000.0,,20740000.0,146410000.0,9721840000.0,7369070000.0,1251520000.0,,47210000.0,47210000.0,691280000.0,366030000.0,325250000.0,5336850000.0,,5336850000.0,2670230000.0,2666620000.0,,,,,2352770000.0,60220000.0,,,1287260000.0,,,,,,778860000.0,,,226430000.0,55330000.0,171100000.0,,,2024-03-31
53206281.0,53206281.0,991770000.0,1229370000.0,5907360000.0,7140570000.0,1391810000.0,5907360000.0,520000.0,5911720000.0,6675590000.0,5911720000.0,5911720000.0,5805310000.0,,,106410000.0,106410000.0,1574600000.0,916900000.0,90900000.0,,60710000.0,764360000.0,490000.0,763870000.0,,657700000.0,29720000.0,,465010000.0,30000.0,464980000.0,,18200000.0,93290000.0,,0.0,93290000.0,7486320000.0,5436810000.0,1279050000.0,,39540000.0,39540000.0,4360000.0,,,4074590000.0,,4074590000.0,1468840000.0,2605750000.0,,,,,2049510000.0,92660000.0,,,1183610000.0,,,,,,535840000.0,,,237400000.0,320000.0,237080000.0,,,2023-09-30
53206281.0,53206281.0,515830000.0,1106920000.0,5687910000.0,6799440000.0,1891180000.0,5687910000.0,510000.0,5693030000.0,6499940000.0,5693030000.0,5693030000.0,5586620000.0,4121590000.0,1459170000.0,106410000.0,106410000.0,1563800000.0,934650000.0,72790000.0,72710000.0,54120000.0,807390000.0,480000.0,806910000.0,,629150000.0,38910000.0,19290000.0,299530000.0,30000.0,299500000.0,20100000.0,20100000.0,261730000.0,165260000.0,19290000.0,96470000.0,7256830000.0,4736500000.0,1235850000.0,1275690000.0,40520000.0,40520000.0,5120000.0,5120000.0,,3433040000.0,-913190000.0,4346230000.0,1189670000.0,1129180000.0,1287410000.0,264440000.0,475530000.0,0.0,2520330000.0,118500000.0,9090000.0,111420000.0,1143730000.0,56940000.0,503400000.0,134750000.0,448640000.0,7540000.0,657970000.0,0.0,657970000.0,590580000.0,9650000.0,590580000.0,531300000.0,59280000.0,2023-03-31
