Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Non Current Deferred Revenue,Pensionand Other Post Retirement Benefit Plans Current
8476768.0,8476768.0,909765000.0,992085000.0,2173657000.0,3153352000.0,702836000.0,2173657000.0,19830000.0,2181097000.0,2660440000.0,2181097000.0,2181097000.0,2096439000.0,,,84658000.0,84658000.0,2041996000.0,749862000.0,75509000.0,,178401000.0,495952000.0,16609000.0,479343000.0,1292134000.0,35152000.0,496133000.0,3221000.0,492912000.0,49792000.0,680567000.0,,,7556000.0,673011000.0,4223093000.0,2228123000.0,37710000.0,,29012000.0,29012000.0,7440000.0,7440000.0,2153961000.0,,2153961000.0,68926000.0,2085035000.0,,,,,1994970000.0,223846000.0,,,992077000.0,,,,,1214000.0,,701072000.0,,,76761000.0,14271000.0,62490000.0,,2024-03-31,,
8476768.0,8476768.0,1356855000.0,1387810000.0,1780022000.0,3167832000.0,380229000.0,1780022000.0,,1780022000.0,2385227000.0,1780022000.0,1780022000.0,1700608000.0,,,79414000.0,79414000.0,2283691000.0,778127000.0,40000.0,,172882000.0,605205000.0,,605205000.0,1505564000.0,105245000.0,782605000.0,,782605000.0,30262000.0,539092000.0,,,21739000.0,517353000.0,4063713000.0,2177920000.0,4391000.0,,27977000.0,27977000.0,0.0,,2145552000.0,,2145552000.0,109312000.0,2036240000.0,,,,,1885793000.0,191787000.0,,,940340000.0,,,,,1124000.0,,686549000.0,,,65993000.0,35038000.0,30955000.0,,2023-09-30,,
8476768.0,8476768.0,1206225000.0,1282616000.0,1679341000.0,2962892000.0,383799000.0,1679341000.0,,1680276000.0,2204998000.0,1680276000.0,1680276000.0,1600862000.0,1406343000.0,194519000.0,79414000.0,79414000.0,2342785000.0,879258000.0,,208709000.0,145827000.0,524722000.0,,524722000.0,1463527000.0,83758000.0,757894000.0,,757894000.0,21582000.0,576578000.0,4641000.0,162000.0,2538000.0,569237000.0,4023061000.0,2175735000.0,-2000.0,24112000.0,3000.0,3000.0,935000.0,935000.0,2150687000.0,-887241000.0,3037928000.0,78998000.0,2071688000.0,2594506000.0,279366000.0,85058000.0,0.0,1847326000.0,146157000.0,495000.0,146157000.0,773263000.0,15095000.0,368061000.0,9201000.0,380906000.0,197396000.0,0.0,653624000.0,-6997000.0,660621000.0,76391000.0,196219000.0,76391000.0,76391000.0,2023-03-31,,
