Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Held To Maturity Securities,Other Inventories
3795018.0,1196804982.0,1200600000.0,144960000000.0,162767000000.0,-68754000000.0,355133000000.0,-1796000000.0,-68754000000.0,5471000000.0,197837000000.0,327161000000.0,252748000000.0,54911000000.0,197837000000.0,191834000000.0,,,,,6003000000.0,6003000000.0,307959000000.0,154371000000.0,3107000000.0,0.0,,,3915000000.0,134248000000.0,4924000000.0,129324000000.0,2376000000.0,153588000000.0,7768000000.0,28519000000.0,547000000.0,27972000000.0,1795000000.0,65489000000.0,,,2769000000.0,62720000000.0,560707000000.0,408915000000.0,4280000000.0,,3173000000.0,2657000000.0,,8307000000.0,8307000000.0,,0.0,266591000000.0,102867000000.0,163724000000.0,119778000000.0,,119778000000.0,39852000000.0,79926000000.0,,,,,151792000000.0,7151000000.0,1384000000.0,,,49439000000.0,,,,,62306000000.0,,,31512000000.0,19176000000.0,12336000000.0,,,2024-03-31,,
4716398.0,1195883602.0,1200600000.0,171794000000.0,182523000000.0,-79895000000.0,368062000000.0,37035000000.0,-79895000000.0,4285000000.0,189824000000.0,339897000000.0,242774000000.0,52950000000.0,189824000000.0,183821000000.0,,,,,6003000000.0,6003000000.0,302995000000.0,199331000000.0,3411000000.0,48000000.0,,,3807000000.0,153662000000.0,3589000000.0,150073000000.0,1052000000.0,103664000000.0,5785000000.0,28861000000.0,696000000.0,28165000000.0,1686000000.0,46285000000.0,,,2360000000.0,43925000000.0,545769000000.0,405070000000.0,2879000000.0,,3789000000.0,2223000000.0,,12766000000.0,12766000000.0,,1550000000.0,269719000000.0,106380000000.0,163339000000.0,109221000000.0,,109221000000.0,32600000000.0,76621000000.0,,,,,140699000000.0,10407000000.0,1547000000.0,,,49108000000.0,,,,,40332000000.0,,,39305000000.0,32861000000.0,6444000000.0,,,2023-09-30,,
6612268.0,1193987732.0,1200600000.0,164475000000.0,180188000000.0,-87952000000.0,356376000000.0,38233000000.0,-87952000000.0,2481000000.0,178669000000.0,331574000000.0,224888000000.0,46219000000.0,178669000000.0,2740000000.0,9000000.0,971000000.0,160859000000.0,4390000000.0,6003000000.0,6003000000.0,295540000000.0,210433000000.0,25573000000.0,14297000000.0,6583000000.0,2901000000.0,3818000000.0,154996000000.0,2091000000.0,152905000000.0,2265000000.0,85107000000.0,2347000000.0,25192000000.0,390000000.0,24802000000.0,1486000000.0,48172000000.0,2650000000.0,4000000.0,5687000000.0,39831000000.0,520428000000.0,397088000000.0,1000000.0,1653000000.0,3010000000.0,1454000000.0,5380000000.0,10245000000.0,10071000000.0,174000000.0,1378000000.0,266621000000.0,105259000000.0,161362000000.0,102441000000.0,-51172000000.0,153613000000.0,27091000000.0,3910000000.0,93472000000.0,25848000000.0,3292000000.0,0.0,123340000000.0,5880000000.0,704000000.0,6000000.0,5880000000.0,42437000000.0,15996000000.0,13712000000.0,12729000000.0,10143000000.0,35732000000.0,-617000000.0,36349000000.0,28438000000.0,15206000000.0,13232000000.0,360000000.0,12872000000.0,2023-03-31,,
