Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Preferred Securities Outside Stock Equity,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Restricted Cash,Cash Equivalents
324244157.0,324244157.0,1309690000.0,9407450000.0,10952710000.0,7144200000.0,9407450000.0,1309690000.0,10952710000.0,,10952710000.0,10952710000.0,0.0,10952710000.0,7710270000.0,,,3242440000.0,3242440000.0,,5367730000.0,1228540000.0,,,30870000.0,1124500000.0,1124500000.0,73170000.0,4139190000.0,673570000.0,185190000.0,185190000.0,0.0,,61840000.0,2992080000.0,,51010000.0,2941070000.0,16320440000.0,5037050000.0,9800000.0,,17980000.0,2008290000.0,2008290000.0,1545260000.0,1017510000.0,527750000.0,1446840000.0,,1446840000.0,4630000.0,1442210000.0,,,,11283390000.0,294130000.0,,1228360000.0,,,1593760000.0,,,8167140000.0,7096930000.0,1070210000.0,,2024-03-31,,
321746757.0,321746757.0,679430000.0,-13106350000.0,-11478830000.0,3610180000.0,4823010000.0,611530000.0,-11546730000.0,17929360000.0,6382630000.0,6382630000.0,0.0,6382630000.0,561710000.0,-18665700000.0,5194580000.0,19292720000.0,1363360000.0,17929360000.0,4097640000.0,556560000.0,0.0,59470000.0,26870000.0,470220000.0,470220000.0,,3541080000.0,,209210000.0,141310000.0,67900000.0,50290000.0,,2989630000.0,244510000.0,55040000.0,2690080000.0,10480270000.0,3329010000.0,,124840000.0,5180000.0,604670000.0,604670000.0,1559620000.0,1031870000.0,527750000.0,711290000.0,-303910000.0,1015200000.0,0.0,,186230000.0,828970000.0,0.0,7151260000.0,,495630000.0,1413570000.0,1413570000.0,269040000.0,1385580000.0,-76650000.0,1462230000.0,3587440000.0,3477360000.0,110080000.0,110080000.0,2023-06-30,,
321746757.0,321746757.0,921900000.0,-13434820000.0,-11834260000.0,3513330000.0,4494540000.0,885810000.0,-11870350000.0,17929360000.0,6059010000.0,6059010000.0,0.0,6059010000.0,504920000.0,-18932660000.0,5194580000.0,19292720000.0,1363360000.0,17929360000.0,3605140000.0,814090000.0,0.0,60610000.0,14100000.0,739380000.0,739380000.0,,2791050000.0,,182520000.0,146430000.0,36090000.0,40340000.0,,2245670000.0,239570000.0,39380000.0,1966720000.0,9664150000.0,3359770000.0,,109730000.0,0.0,454170000.0,454170000.0,1564470000.0,1036720000.0,527750000.0,960160000.0,-252620000.0,1212780000.0,0.0,,203610000.0,1009170000.0,0.0,6304380000.0,,348980000.0,1139270000.0,1139270000.0,258140000.0,1277040000.0,-56540000.0,1333580000.0,3280950000.0,3198400000.0,82550000.0,82550000.0,2023-03-31,,
