Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
455678908.0,455678908.0,16866300000.0,29217700000.0,101336800000.0,169602000000.0,49461500000.0,101336800000.0,2518600000.0,142902900000.0,142902900000.0,143734500000.0,831600000.0,142902900000.0,141991500000.0,,,911400000.0,911400000.0,96237300000.0,11222300000.0,1894000000.0,,,,2458700000.0,1552800000.0,1552800000.0,0.0,3754000000.0,85015000000.0,11439000000.0,27664900000.0,965800000.0,26699100000.0,5249400000.0,33872500000.0,,,4291400000.0,29581100000.0,239971800000.0,105495300000.0,1377600000.0,,3025300000.0,,3202300000.0,3202300000.0,,269100000.0,,41566100000.0,18315700000.0,23250400000.0,54942200000.0,,54942200000.0,5956700000.0,48985500000.0,,,,,134476500000.0,10705500000.0,,,,49539000000.0,,,,,25800000.0,406100000.0,46920500000.0,,,26879600000.0,17046800000.0,9832800000.0,,,2024-03-31
455221984.0,455221984.0,20424100000.0,37846100000.0,88065100000.0,167624800000.0,36670000000.0,88065100000.0,2608700000.0,132387400000.0,132387400000.0,133070000000.0,682600000.0,132387400000.0,131476900000.0,,,910500000.0,910500000.0,101366500000.0,12151800000.0,1930200000.0,,,,2643900000.0,1535800000.0,1535800000.0,0.0,3842700000.0,89214700000.0,9295800000.0,36310300000.0,1072900000.0,35237400000.0,5190300000.0,32092100000.0,,,4546000000.0,27546100000.0,234436500000.0,108551800000.0,1048400000.0,,2307700000.0,,1702300000.0,1702300000.0,,271900000.0,271900000.0,44322300000.0,21406500000.0,22915800000.0,54892100000.0,,54892100000.0,6756700000.0,48135400000.0,,,,,125884700000.0,11482300000.0,,,,46741300000.0,,,,,38600000.0,373900000.0,44641100000.0,,,22607500000.0,7794200000.0,14813300000.0,,,2023-09-30
454981335.0,454981335.0,29662300000.0,45415200000.0,84111100000.0,167085500000.0,31859300000.0,84111100000.0,2974700000.0,124645000000.0,124920100000.0,125428200000.0,783200000.0,124645000000.0,1489400000.0,95359500000.0,11202300000.0,910000000.0,910000000.0,104131100000.0,11477400000.0,1600200000.0,3430300000.0,2013600000.0,1600200000.0,2294300000.0,2139000000.0,1863900000.0,275100000.0,3430300000.0,92653700000.0,3878400000.0,43276200000.0,1110800000.0,42165400000.0,5151100000.0,39403400000.0,9796400000.0,42000000.0,4249700000.0,25315300000.0,229559300000.0,105046300000.0,1980100000.0,2790400000.0,1556500000.0,0.0,470600000.0,1457700000.0,470600000.0,300700000.0,,40533900000.0,18346100000.0,22187800000.0,55398400000.0,-40387200000.0,95785600000.0,8948200000.0,46450200000.0,55241400000.0,28315200000.0,3280800000.0,0.0,124513000000.0,52200000.0,0.0,153100000.0,3007400000.0,44917600000.0,3504100000.0,22133100000.0,6318300000.0,12962100000.0,3172100000.0,8882600000.0,44807000000.0,-490800000.0,45297800000.0,19521000000.0,6742800000.0,12778200000.0,5124000000.0,7654200000.0,2023-03-31
