Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Other Special Charges
0.0,0.4,6900000.0,1000000.0,5200000.0,8400000.0,6900000.0,1700000.0,1000000.0,1000000.0,50100000.0,,,,,1000000.0,1000000.0,0.0,1000000.0,1000000.0,1000000.0,700000.0,1700000.0,0.0,1700000.0,41700000.0,14300000.0,5200000.0,5200000.0,43400000.0,8400000.0,51800000.0,51800000.0,2024-03-31,,,,
0.0,0.285714,12100000.0,10000000.0,5100000.0,19300000.0,12100000.0,7000000.0,10000000.0,10000000.0,56700000.0,11363636.0,11363636.0,0.88,0.88,10000000.0,10000000.0,0.0,10000000.0,10000000.0,10000000.0,4000000.0,14000000.0,7000000.0,7000000.0,37400000.0,13600000.0,5100000.0,5100000.0,44400000.0,19300000.0,63700000.0,63700000.0,2023-12-31,,,,
0.0,0.010855,2003100000.0,1977300000.0,5200000.0,18400000.0,2003100000.0,1997900000.0,1977300000.0,1977300000.0,61300000.0,11428819.0,11428819.0,173.01,173.01,1977300000.0,1977300000.0,0.0,1977300000.0,1977300000.0,1977300000.0,21700000.0,1999000000.0,1100000.0,1997900000.0,42900000.0,20100000.0,5200000.0,5200000.0,2040800000.0,18400000.0,2059200000.0,2059200000.0,2023-09-30,,,,
0.0,0.304348,12100000.0,4800000.0,5200000.0,8600000.0,12100000.0,6900000.0,4800000.0,4800000.0,45700000.0,11428571.0,11428571.0,0.42,0.42,4800000.0,4800000.0,0.0,4800000.0,4800000.0,4800000.0,2100000.0,6900000.0,,6900000.0,37100000.0,11200000.0,5200000.0,5200000.0,44000000.0,8600000.0,52600000.0,52600000.0,2023-06-30,,,,
0.0,0.361622,18063000.0,8184000.0,5301000.0,51018000.0,18063000.0,12762000.0,8184000.0,8184000.0,76753000.0,,,,,8184000.0,8184000.0,0.0,8184000.0,8184000.0,8184000.0,4636000.0,12820000.0,-9970000.0,12762000.0,25735000.0,-5733000.0,5301000.0,5301000.0,38497000.0,51018000.0,89515000.0,89515000.0,2023-03-31,,,,
,,,,,,,,,,,11444867.0,11444867.0,2.63,2.63,,,,,,,,,12400000.0,,,,,,,,,,2022-12-31,,,,
-42240000.0,0.3,160600000.0,82600000.0,5200000.0,21800000.0,19800000.0,14600000.0,181160000.0,82600000.0,62600000.0,11472222.0,11472222.0,7.2,7.2,82600000.0,82600000.0,0.0,82600000.0,82600000.0,82600000.0,-200300000.0,-117700000.0,8500000.0,14600000.0,40800000.0,11900000.0,5200000.0,5200000.0,55400000.0,21800000.0,77200000.0,77200000.0,2024-06-30 00:00:00,-140800000.0,-140800000.0,-140800000.0,140800000.0
