Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Non Current Deferred Revenue,Long Term Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Non Current Deferred Taxes Assets,Financial Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
1648000000.0,1648000000.0,282959800000.0,282959800000.0,282959800000.0,282959800000.0,282959800000.0,283456700000.0,496900000.0,282959800000.0,,,8240000000.0,8240000000.0,797790200000.0,,174041500000.0,,,,,1081246900000.0,2989300000.0,,820690700000.0,820690700000.0,820690700000.0,,,,,4908500000.0,,,,,,,,,,,,143201000000.0,,143201000000.0,2024-03-31
1648000000.0,1648000000.0,271802700000.0,271802700000.0,271802700000.0,271802700000.0,271802700000.0,272305500000.0,502800000.0,271802700000.0,,,8240000000.0,8240000000.0,749562700000.0,,174503600000.0,,,,,1021868200000.0,2945900000.0,,790846200000.0,790846200000.0,790846200000.0,,,,,5532800000.0,,,,,,,,,,,,113439500000.0,,113439500000.0,2023-09-30
1648000000.0,1648000000.0,275255800000.0,275255800000.0,275255800000.0,275255800000.0,275255800000.0,275839100000.0,583300000.0,275255800000.0,,,8240000000.0,8240000000.0,742812100000.0,,177406700000.0,,,,,1018651200000.0,2870300000.0,,789302300000.0,789302300000.0,789302300000.0,,,,,5665800000.0,,,,,,,,,,,,118785300000.0,,118785300000.0,2023-06-30
1648000000.0,1648000000.0,257927016000.0,258634968000.0,257927016000.0,258634968000.0,258634968000.0,259209429000.0,574461000.0,258634968000.0,0.0,18908541000.0,8240000000.0,8240000000.0,723019306000.0,9071755000.0,163067548000.0,38106203000.0,20716811000.0,6713537000.0,10675855000.0,982228735000.0,2810190000.0,0.0,743601198000.0,713842767000.0,38203745000.0,0.0,707952000.0,18198000.0,689754000.0,5071111000.0,-7462561000.0,12533672000.0,141227000.0,2281367000.0,6148199000.0,3476396000.0,486483000.0,7121899000.0,12278413000.0,3803074000.0,64577554000.0,153857581000.0,29758431000.0,124099150000.0,2023-03-31
