Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Date,Net Policyholder Benefits And Claims
0.0,0.4,88623950000.0,88623950000.0,88623950000.0,1734312737000.0,,,,,88623950000.0,88623950000.0,88623950000.0,88623950000.0,0.0,88623950000.0,-1736211000.0,86887739000.0,0.0,-55841087000.0,1874897440000.0,1874897440000.0,2024-03-31,
0.0,0.006498,94689871000.0,94689871000.0,94689871000.0,2042442445000.0,6325308684.0,6325308684.0,14.97,14.97,94689871000.0,94689871000.0,94689871000.0,94689871000.0,0.0,94689871000.0,619331000.0,95309202000.0,0.0,31124160000.0,2138761379000.0,2138761379000.0,2023-12-31,
0.0,0.011985,80302848000.0,80302848000.0,80302848000.0,1947757596000.0,6323058898.0,6323058898.0,12.7,12.7,80302848000.0,80302848000.0,80302848000.0,80302848000.0,,80302848000.0,974077000.0,81276925000.0,0.0,27638895000.0,2031662292000.0,2031662292000.0,2023-09-30,
0.0,0.010127,96349831000.0,96349831000.0,96349831000.0,1827735400000.0,6326318516.0,6326318516.0,15.23,15.23,96349831000.0,96349831000.0,96349831000.0,96349831000.0,,96349831000.0,985703000.0,97335534000.0,0.0,999410000.0,1925283397000.0,1925283397000.0,2023-06-30,
0.0,1.2e-05,131907943000.0,131907943000.0,131907943000.0,1979692658000.0,,,,,131907943000.0,131907943000.0,131907943000.0,131907943000.0,,131907943000.0,1544000.0,131909467000.0,0.0,-47618700000.0,2111190351100.0,2111190351100.0,2023-03-31,
,,,,,,6323421215.0,6323421215.0,10.04,10.04,,,,,0.0,,,,,,,,2022-12-31,
0.0,0.00067,105443300000.0,105443300000.0,105443300000.0,2008848700000.0,6325332933.0,6325332933.0,16.67,16.67,105443300000.0,105443300000.0,105443300000.0,105443300000.0,0.0,105443300000.0,70700000.0,105514000000.0,0.0,34693100000.0,2119258900000.0,2119258900000.0,2024-06-30 00:00:00,
