Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.340717,561590000.0,,,192530000.0,16530000.0,302400000.0,561590000.0,545060000.0,-249800000.0,249800000.0,,192530000.0,192530000.0,485340000.0,,,,,,192530000.0,192530000.0,0.0,192530000.0,-2120000.0,194660000.0,194660000.0,100600000.0,295260000.0,26800000.0,,,-249800000.0,,249800000.0,,518250000.0,182940000.0,121120000.0,16530000.0,,16530000.0,,,,,701190000.0,302400000.0,1003590000.0,1003590000.0,2024-03-31
0.0,0.249842,697490000.0,,,165740000.0,6080000.0,313690000.0,697490000.0,691410000.0,-470470000.0,470470000.0,,165740000.0,165740000.0,370080000.0,,32950298.0,32950298.0,5.03,5.03,165740000.0,165740000.0,0.0,165740000.0,80000.0,165740000.0,165740000.0,55200000.0,220940000.0,1640000.0,,,-470470000.0,,470470000.0,,689770000.0,56390000.0,16870000.0,6080000.0,,6080000.0,,,,,746160000.0,313690000.0,1059850000.0,1059850000.0,2023-12-31
-245050.588478,0.250052,469600000.0,0.0,-980000.0,147050000.0,4770000.0,461840000.0,469600000.0,464830000.0,-268810000.0,271110000.0,3080000.0,148764949.411522,147050000.0,561550000.0,0.0,44361111.0,44361111.0,3.31484,3.31484,147050000.0,147050000.0,0.0,147050000.0,1770000.0,145280000.0,145280000.0,48440000.0,193720000.0,950000.0,-980000.0,0.0,-268810000.0,780000.0,271110000.0,3080000.0,462550000.0,99710000.0,24430000.0,4770000.0,200000.0,4570000.0,37170000.0,18180000.0,18990000.0,0.0,562260000.0,461840000.0,1024100000.0,1024100000.0,2023-06-30
0.0,0.254146,642420000.0,,,301340000.0,17010000.0,601660000.0,642420000.0,625410000.0,-221390000.0,221390000.0,,301340000.0,301340000.0,720840000.0,,42864865.0,42864865.0,7.03,7.03,301340000.0,301340000.0,0.0,301340000.0,0.0,301340000.0,301340000.0,102680000.0,404020000.0,9520000.0,,,-221390000.0,,221390000.0,,615890000.0,119180000.0,54230000.0,17010000.0,,17010000.0,,,,,735070000.0,601660000.0,1336730000.0,1336730000.0,2024-06-30 00:00:00
