Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-74647115.843,0.30518,4967900000.0,-244600000.0,-244600000.0,1693300000.0,1120000000.0,21838500000.0,4723300000.0,3603300000.0,-1086100000.0,1086100000.0,1863252884.157,1693300000.0,33292900000.0,,,,,,1693300000.0,1693300000.0,0.0,1693300000.0,-23300000.0,1716600000.0,1716600000.0,768200000.0,2517200000.0,156300000.0,-244600000.0,235200000.0,9400000.0,-1086100000.0,1086100000.0,3691600000.0,11454400000.0,6643700000.0,1120000000.0,1120000000.0,15146000000.0,21838500000.0,36984500000.0,36984500000.0,2024-03-31
-14645791.621407,0.333617,5627800000.0,-43900000.0,-43900000.0,2209200000.0,1109000000.0,22212000000.0,5583900000.0,4474900000.0,-1068600000.0,1068600000.0,2238454208.378593,2209200000.0,32484400000.0,5627800000.0,261753555.0,260826446.0,8.44,8.47,2209200000.0,2209200000.0,0.0,2209200000.0,-61500000.0,2270700000.0,2270700000.0,1136400000.0,3406300000.0,126000000.0,-43900000.0,36300000.0,7600000.0,-1068600000.0,1068600000.0,4392800000.0,10272400000.0,5619800000.0,1109000000.0,1109000000.0,14665200000.0,22212000000.0,36877200000.0,36877200000.0,2023-12-31
-9573113.770866,0.335899,5969200000.0,-28500000.0,-28500000.0,2421100000.0,1080400000.0,23343700000.0,5940700000.0,4860300000.0,-1092200000.0,1092200000.0,2440026886.229134,2421100000.0,34164300000.0,5969300000.0,260613563.0,259496249.0,9.29,9.33,2421100000.0,2421100000.0,0.0,2421100000.0,-65100000.0,2486200000.0,2486100000.0,1265700000.0,3768100000.0,77900000.0,-28500000.0,,,-1092200000.0,1092200000.0,4811000000.0,10820600000.0,6015500000.0,1080400000.0,1080400000.0,15631600000.0,23343700000.0,38975300000.0,38975300000.0,2023-09-30
14828686.659772,0.340889,4654500000.0,43500000.0,43500000.0,1538700000.0,1058100000.0,23332200000.0,4698000000.0,3639900000.0,-1222400000.0,1222400000.0,1510028686.659772,1538700000.0,33667700000.0,4654500000.0,260355330.0,259477234.0,5.91,5.93,1538700000.0,1538700000.0,0.0,1538700000.0,-47200000.0,1585900000.0,1585900000.0,824100000.0,2417500000.0,83300000.0,43500000.0,,,-1222400000.0,1222400000.0,3513100000.0,10335500000.0,5918100000.0,1058100000.0,1058100000.0,13848600000.0,23332200000.0,37180800000.0,37180800000.0,2023-06-30
129317599.046768,0.32964,3536500000.0,392300000.0,392300000.0,1083800000.0,1056200000.0,25524200000.0,3928800000.0,2872600000.0,-1232400000.0,1194100000.0,820817599.046768,1083800000.0,32369800000.0,,,,,,1083800000.0,1083800000.0,0.0,1083800000.0,-31800000.0,1115600000.0,1115600000.0,553300000.0,1678500000.0,-192000000.0,165200000.0,,,-1232400000.0,1194100000.0,2705800000.0,6845600000.0,-4503200000.0,1056200000.0,1056200000.0,9551400000.0,25524200000.0,35075600000.0,35075600000.0,2023-03-31
,,,,,,,,,,,,,,,3490400000.0,246578947.0,246578947.0,2.66,2.66,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
-1326144.46626,0.270642,5157200000.0,-4900000.0,-4900000.0,2114400000.0,1125500000.0,21417000000.0,5152300000.0,4026800000.0,-1123700000.0,1123700000.0,2117973855.53374,2114400000.0,32516500000.0,5157200000.0,274954486.0,273886010.0,7.69,7.72,2114400000.0,2114400000.0,0.0,2114400000.0,-68600000.0,2183000000.0,2183000000.0,785700000.0,2903100000.0,157400000.0,-4900000.0,,,-1123700000.0,1123700000.0,3874300000.0,11099500000.0,6270100000.0,1125500000.0,1125500000.0,14973800000.0,21417000000.0,36390800000.0,36390800000.0,2024-06-30 00:00:00
