Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Date,Net Policyholder Benefits And Claims
0.0,0.030549,8108000000.0,8108000000.0,8108000000.0,354100100000.0,,,,,8108000000.0,8108000000.0,8108000000.0,8108000000.0,0.0,8108000000.0,255500000.0,8363500000.0,0.0,-4520800000.0,362463600000.0,362463600000.0,2024-03-31,
0.0,0.022155,3217500000.0,3217500000.0,3217500000.0,387365800000.0,1002336449.0,1002336449.0,3.21,3.21,3217500000.0,3217500000.0,3217500000.0,3217500000.0,0.0,3217500000.0,72900000.0,3290400000.0,0.0,7409100000.0,390656200000.0,390656200000.0,2023-12-31,
0.0,0.017546,3801900000.0,3801900000.0,3801900000.0,284057100000.0,1003139842.0,1000500000.0,3.79,3.8,3801900000.0,3801900000.0,3801900000.0,3801900000.0,,3801900000.0,67900000.0,3869800000.0,0.0,6992400000.0,287927000000.0,287927000000.0,2023-09-30,
0.0,0.022323,3810400000.0,3810400000.0,3810400000.0,275046600000.0,1002736842.0,1000104987.0,3.8,3.81,3810400000.0,3810400000.0,3810400000.0,3810400000.0,,3810400000.0,87000000.0,3897400000.0,0.0,4431300000.0,278944000000.0,278944000000.0,2023-06-30,
0.0,0.021087,7768624000.0,7768624000.0,7768624000.0,205054022000.0,,,,,7768624000.0,7768624000.0,7768624000.0,7768624000.0,,7768624000.0,167346000.0,7935970000.0,0.0,-1523950000.0,212989992000.0,212989992000.0,2023-03-31,
,,,,,,1000427632.0,1000427632.0,3.04,3.04,,,,,0.0,,,,,,,,2022-12-31,
0.0,0.029823,5195200000.0,5195200000.0,5195200000.0,341388900000.0,1002934363.0,1001001927.0,5.18,5.19,5195200000.0,5195200000.0,5195200000.0,5195200000.0,0.0,5195200000.0,159700000.0,5354900000.0,0.0,7565700000.0,346743800000.0,346743800000.0,2024-06-30 00:00:00,
