Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.0,-2427000.0,-749000.0,3000.0,3000.0,-2427000.0,-2430000.0,,,-749000.0,-749000.0,3514000.0,,,,,-749000.0,-749000.0,0.0,-749000.0,-749000.0,-749000.0,-749000.0,1681000.0,,,-2430000.0,3511000.0,2569000.0,3000.0,3000.0,1081000.0,3000.0,1084000.0,1084000.0,2024-03-31
0.0,0.3,733000.0,731000.0,3000.0,11000.0,733000.0,730000.0,,,731000.0,731000.0,1103000.0,73100000.0,73100000.0,0.01,0.01,731000.0,731000.0,0.0,731000.0,731000.0,731000.0,731000.0,,,,730000.0,1092000.0,423000.0,3000.0,3000.0,1822000.0,11000.0,1833000.0,1833000.0,2023-12-31
0.0,0.0,-858000.0,-760000.0,3000.0,3000.0,-858000.0,-861000.0,,,-760000.0,-760000.0,1463000.0,76000000.0,76000000.0,-0.01,-0.01,-760000.0,-760000.0,0.0,-760000.0,-760000.0,-760000.0,-760000.0,102000.0,,,-861000.0,1460000.0,729000.0,3000.0,3000.0,599000.0,3000.0,602000.0,602000.0,2023-09-30
0.0,0.0,-382000.0,-385000.0,3000.0,10000.0,-382000.0,-385000.0,0.0,0.0,-385000.0,-385000.0,1194000.0,77000000.0,77000000.0,-0.005,-0.005,-385000.0,-385000.0,0.0,-385000.0,-385000.0,-385000.0,-385000.0,,0.0,0.0,-386000.0,1184000.0,594000.0,3000.0,3000.0,798000.0,10000.0,808000.0,808000.0,2023-06-30
0.0,0.0,-6145000.0,-2699000.0,2457000.0,13000.0,-6145000.0,-8602000.0,,,-2699000.0,-2699000.0,10957000.0,,,,,-2699000.0,-2699000.0,0.0,-2699000.0,-2699000.0,-2699000.0,-2699000.0,5903000.0,,,-8602000.0,10944000.0,7823000.0,2457000.0,2457000.0,2342000.0,13000.0,2355000.0,2355000.0,2023-03-31
,,,,,,,,,,,,,68700000.0,68700000.0,0.01,0.01,,,,,,,,908000.0,,,,,,,,,,,,2022-12-31
0.0,0.0,-278000.0,-281000.0,3000.0,4000.0,-278000.0,-281000.0,,,-281000.0,-281000.0,1383000.0,70250000.0,70250000.0,-0.004,-0.004,-281000.0,-281000.0,0.0,-281000.0,-281000.0,-281000.0,-281000.0,,,,-281000.0,1379000.0,645000.0,3000.0,3000.0,1098000.0,4000.0,1102000.0,1102000.0,2024-06-30 00:00:00
