Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Tradeand Other Payables Non Current
199921741.0,199921741.0,,6064100000.0,167983700000.0,180623500000.0,32670800000.0,167983700000.0,2429800000.0,176989200000.0,176989200000.0,178345700000.0,1356500000.0,176989200000.0,176589400000.0,,,399800000.0,399800000.0,83182200000.0,12698500000.0,5701300000.0,1991300000.0,1991300000.0,0.0,3224600000.0,70483700000.0,6038500000.0,4072800000.0,438500000.0,3634300000.0,1594400000.0,56229000000.0,,,56229000000.0,261527900000.0,158373400000.0,1286500000.0,,55520100000.0,,55520100000.0,,30835900000.0,30835900000.0,9005500000.0,9005500000.0,58157100000.0,,58157100000.0,1271600000.0,56885500000.0,,,,,103154500000.0,4796900000.0,,,17559000000.0,,,,,245600000.0,,26302200000.0,,,54250800000.0,48201700000.0,6049100000.0,,,2024-03-31,,
199868978.0,199868978.0,339500000.0,6508900000.0,167913500000.0,180744800000.0,36710800000.0,167913500000.0,2503800000.0,176739700000.0,176807500000.0,177987100000.0,1247400000.0,176739700000.0,176340000000.0,,,399700000.0,399700000.0,85124000000.0,11581500000.0,5409100000.0,2114500000.0,2046700000.0,67800000.0,2298500000.0,73542500000.0,5632200000.0,4394400000.0,457100000.0,3937300000.0,1958200000.0,59631700000.0,,,59631700000.0,263111100000.0,152857800000.0,1417500000.0,,53062700000.0,,53062700000.0,,29816400000.0,29816400000.0,8826200000.0,8826200000.0,57060400000.0,,57060400000.0,1750500000.0,55309900000.0,,,,,110253300000.0,3386400000.0,,,20321600000.0,,,,,225500000.0,,42294900000.0,,,44024900000.0,40359300000.0,3665600000.0,,,2023-09-30,,
199839718.0,199839718.0,869400000.0,5675400000.0,155411600000.0,169688100000.0,34227100000.0,155411600000.0,2543000000.0,166555700000.0,166756600000.0,167806300000.0,1250600000.0,166555700000.0,356300000.0,138627900000.0,492200000.0,399700000.0,399700000.0,71364000000.0,11237800000.0,4857900000.0,2397600000.0,2196700000.0,200900000.0,2019400000.0,60126200000.0,2608600000.0,3277800000.0,346300000.0,2931500000.0,1926800000.0,48577300000.0,633400000.0,342500000.0,47601400000.0,239170300000.0,144817000000.0,400000.0,1715600000.0,47684900000.0,13788700000.0,9766200000.0,24130000000.0,26187000000.0,26187000000.0,11144100000.0,11144100000.0,54985100000.0,-56445900000.0,111431000000.0,1220900000.0,2957400000.0,71463700000.0,34039400000.0,1749600000.0,0.0,94353300000.0,2694600000.0,342300000.0,2253100000.0,17563900000.0,230300000.0,8731900000.0,400900000.0,8200800000.0,6006000000.0,389100000.0,27194700000.0,-1214700000.0,28409400000.0,40604200000.0,38341200000.0,2263000000.0,0.0,2263000000.0,2023-03-31,,
