Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
69935791.0,69935791.0,1461682000.0,1818762000.0,5063840000.0,6984874000.0,3479047000.0,5063840000.0,5166112000.0,6726586000.0,5161286000.0,-4826000.0,5166112000.0,4466754000.0,,,699358000.0,699358000.0,3838294000.0,1725202000.0,,155340000.0,1560474000.0,1560474000.0,9388000.0,2113092000.0,576561000.0,258288000.0,258288000.0,1270859000.0,0.0,1270859000.0,8999580000.0,3407441000.0,448829000.0,,570000.0,570000.0,567514000.0,567514000.0,0.0,102272000.0,94000.0,102178000.0,2288256000.0,,2288256000.0,1135459000.0,1152797000.0,,,,,5592139000.0,135931000.0,,4080318000.0,,,,14914000.0,10099000.0,993786000.0,357091000.0,11000.0,357080000.0,,2024-03-31
69935791.0,69935791.0,1647683000.0,1727085000.0,5462060000.0,7291417000.0,3885583000.0,5462060000.0,5564332000.0,7100404000.0,5568510000.0,4178000.0,5564332000.0,4864974000.0,269370000.0,4289808000.0,699358000.0,699358000.0,3857988000.0,1694942000.0,9401000.0,149469000.0,1536072000.0,1536072000.0,9401000.0,2163046000.0,395373000.0,191013000.0,191013000.0,1576660000.0,0.0,1576660000.0,9426498000.0,3377869000.0,-2000.0,63890000.0,214000.0,214000.0,567514000.0,567514000.0,0.0,102272000.0,94000.0,102178000.0,2643981000.0,-366026000.0,3010007000.0,1462017000.0,1181962000.0,288879000.0,1216026000.0,43085000.0,0.0,6048629000.0,89993000.0,89993000.0,4491110000.0,3237000.0,1119856000.0,3368017000.0,62588000.0,7541000.0,1317984000.0,79413000.0,11000.0,79402000.0,79402000.0,2023-03-31
