Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
26809967.0,26809967.0,35800000.0,234300000.0,2172200000.0,2353600000.0,322800000.0,2172200000.0,80500000.0,2199800000.0,2353600000.0,2199800000.0,,2199800000.0,2038900000.0,,,160900000.0,160900000.0,987600000.0,428300000.0,57600000.0,,700000.0,234300000.0,80500000.0,153800000.0,22800000.0,559300000.0,,,,559300000.0,406200000.0,,153100000.0,3187400000.0,2305300000.0,239100000.0,32700000.0,,793900000.0,793900000.0,,731300000.0,,731300000.0,263100000.0,27600000.0,24700000.0,2900000.0,217600000.0,,217600000.0,0.0,217600000.0,,,,,882100000.0,,,118000000.0,,,3500000.0,10600000.0,623000000.0,,,127000000.0,9000000.0,118000000.0,,2024-03-31
26809967.0,26809967.0,257800000.0,451200000.0,2169800000.0,2627900000.0,1176900000.0,2169800000.0,25400000.0,2202100000.0,2627900000.0,2202100000.0,,2202100000.0,2041200000.0,,,160900000.0,160900000.0,863300000.0,637600000.0,23000000.0,,1000000.0,451200000.0,25400000.0,425800000.0,24000000.0,225700000.0,,,,225700000.0,163600000.0,,62100000.0,3065400000.0,1662800000.0,217500000.0,38200000.0,,250900000.0,250900000.0,,683900000.0,,683900000.0,288000000.0,32300000.0,29400000.0,2900000.0,152000000.0,,152000000.0,0.0,152000000.0,,,,,1402600000.0,,,379800000.0,,,430600000.0,16000000.0,269300000.0,,,306900000.0,138900000.0,168000000.0,,2023-09-30
25884967.0,25884967.0,25036000.0,205225000.0,2095616000.0,2282703000.0,886403000.0,2095616000.0,23270000.0,2100748000.0,2120638000.0,2100748000.0,0.0,2100748000.0,125530000.0,1161645000.0,396672000.0,155310000.0,155310000.0,609626000.0,70281000.0,1000.0,21462000.0,804000.0,34464000.0,14574000.0,19890000.0,1002000.0,539345000.0,170761000.0,8696000.0,162065000.0,256245000.0,41436000.0,58272000.0,156537000.0,2710374000.0,1284625000.0,26486000.0,41052000.0,361000.0,89774000.0,89774000.0,0.0,667515000.0,18500000.0,649015000.0,304061000.0,5132000.0,2258000.0,2874000.0,150244000.0,-42788000.0,193032000.0,12765000.0,21399000.0,140351000.0,12181000.0,6336000.0,0.0,1425748000.0,0.0,254354000.0,203326000.0,202928000.0,398000.0,437550000.0,20471000.0,320903000.0,-19627000.0,340530000.0,189144000.0,32225000.0,156919000.0,156919000.0,2023-03-31
