Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.251466,-1786000.0,3575000.0,225000.0,-1786000.0,-2011000.0,3575000.0,3575000.0,4086000.0,,,,,3575000.0,3575000.0,0.0,3575000.0,3575000.0,3575000.0,1201000.0,4776000.0,3000.0,-2011000.0,4086000.0,704000.0,225000.0,225000.0,2075000.0,2075000.0,2024-03-31
0.0,0.251581,5441000.0,3906000.0,225000.0,5441000.0,5216000.0,3906000.0,3906000.0,3678000.0,17754545.0,17754545.0,0.22,0.22,3906000.0,3906000.0,0.0,3906000.0,3906000.0,3906000.0,1313000.0,5219000.0,3000.0,5216000.0,3678000.0,660000.0,225000.0,225000.0,8894000.0,8894000.0,2023-12-31
0.0,0.251636,10929000.0,8003000.0,238000.0,10929000.0,10691000.0,8003000.0,8003000.0,2430000.0,18188636.0,18188636.0,0.44,0.44,8003000.0,8003000.0,0.0,8003000.0,8003000.0,8003000.0,2691000.0,10694000.0,3000.0,10691000.0,2430000.0,1039000.0,238000.0,238000.0,13121000.0,13121000.0,2023-09-30
0.0,0.252592,3708000.0,2595000.0,239000.0,3708000.0,3469000.0,2595000.0,2595000.0,1233000.0,18535714.0,18535714.0,0.14,0.14,2595000.0,2595000.0,0.0,2595000.0,2595000.0,2595000.0,877000.0,3472000.0,3000.0,3469000.0,1233000.0,686000.0,239000.0,239000.0,4702000.0,4702000.0,2023-06-30
0.0,0.251665,3830000.0,2697000.0,238000.0,3830000.0,3592000.0,2697000.0,2697000.0,1080000.0,,,,,2697000.0,2697000.0,0.0,2697000.0,2697000.0,2697000.0,907000.0,3604000.0,,3592000.0,1080000.0,-1435000.0,238000.0,238000.0,4672000.0,4672000.0,2023-03-31
,,,,,,,,,,18453333.0,18453333.0,0.15,0.15,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.259092,5196000.0,3769000.0,109000.0,5196000.0,5087000.0,3769000.0,3769000.0,3836000.0,18845000.0,18845000.0,0.2,0.2,3769000.0,3769000.0,0.0,3769000.0,3769000.0,3769000.0,1318000.0,5087000.0,,5087000.0,3836000.0,807000.0,109000.0,109000.0,8923000.0,8923000.0,2024-06-30 00:00:00
