Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
30582927.0,30582927.0,15630000.0,5662080000.0,5806950000.0,3246220000.0,5662080000.0,12110000.0,5803430000.0,5806130000.0,5803430000.0,5803430000.0,5650520000.0,,,152910000.0,152910000.0,610470000.0,63820000.0,,26020000.0,11130000.0,8430000.0,2700000.0,26670000.0,546650000.0,20480000.0,,4500000.0,3680000.0,820000.0,21050000.0,411680000.0,,35400000.0,376280000.0,6413900000.0,2621030000.0,54240000.0,,38770000.0,38770000.0,141350000.0,141350000.0,2386670000.0,,2386670000.0,254490000.0,2132180000.0,,,,,3792870000.0,26480000.0,,357340000.0,,,,,,630950000.0,,,2778100000.0,2462360000.0,315740000.0,,2024-03-31
30582927.0,30582927.0,21540000.0,5472790000.0,5625610000.0,3207820000.0,5472790000.0,17620000.0,5621690000.0,5624790000.0,5621690000.0,5621690000.0,5468780000.0,,,152910000.0,152910000.0,912790000.0,61990000.0,,10570000.0,15250000.0,12150000.0,3100000.0,36170000.0,850800000.0,18150000.0,,6290000.0,5470000.0,820000.0,17360000.0,611320000.0,,47110000.0,564210000.0,6534480000.0,2475860000.0,31330000.0,,38770000.0,38770000.0,148900000.0,148900000.0,2256860000.0,,2256860000.0,293910000.0,1962950000.0,,,,,4058620000.0,79950000.0,,386180000.0,,,,,,809320000.0,,,2783170000.0,2719390000.0,63780000.0,,2023-09-30
30582927.0,30582927.0,25370000.0,5362450000.0,5517130000.0,3426660000.0,5362450000.0,21070000.0,5512830000.0,5516070000.0,5512830000.0,5512830000.0,,2493630000.0,2858920000.0,152910000.0,152910000.0,907150000.0,55290000.0,32870000.0,4430000.0,17990000.0,14750000.0,3240000.0,,851860000.0,20690000.0,62420000.0,7380000.0,6320000.0,1060000.0,22070000.0,672550000.0,210970000.0,,461580000.0,6419980000.0,2141460000.0,,37280000.0,460000.0,460000.0,150380000.0,150380000.0,1953340000.0,-931760000.0,2885100000.0,818150000.0,,1592890000.0,137030000.0,337030000.0,0.0,4278520000.0,150000.0,59930000.0,318850000.0,-43650000.0,16740000.0,103970000.0,241790000.0,53760000.0,732350000.0,-5110000.0,737460000.0,3113480000.0,3065890000.0,47590000.0,47590000.0,2023-03-31
