Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Rent And Landing Fees,Total Revenue,Operating Revenue,Date
0.0,0.259228,0.0,0.0,433500000.0,,5907500000.0,4112500000.0,10020000000.0,433500000.0,433500000.0,,,,,433500000.0,433500000.0,433500000.0,433500000.0,0.0,433500000.0,151700000.0,585200000.0,0.0,,,4559200000.0,3512000000.0,,,,,,,,7405900000.0,7405900000.0,2024-03-31
0.0,0.251668,0.0,0.0,1121400000.0,,5969600000.0,3774100000.0,9743700000.0,1121400000.0,1121400000.0,463388430.0,461481481.0,2.42,2.43,1121400000.0,1121400000.0,1121400000.0,1121300000.0,0.0,1121300000.0,377100000.0,1498400000.0,0.0,,,4292600000.0,3399600000.0,,,,,,,,7169400000.0,7169400000.0,2023-12-31
81000.0,0.3,270000.0,270000.0,1299640000.0,122690000.0,5854530000.0,3132930000.0,8987460000.0,1299451000.0,1299640000.0,514779858.0,514779858.0,2.524652,2.524652,1299640000.0,1299640000.0,1299640000.0,1299640000.0,,1299640000.0,,1299640000.0,270000.0,-270000.0,114400000.0,3778130000.0,2557170000.0,122690000.0,122690000.0,50390000.0,43190000.0,7200000.0,45560000.0,199060000.0,6784550000.0,6784550000.0,2023-06-30
-1014000.0,0.3,-3380000.0,-3380000.0,1013830000.0,,4989600000.0,2749090000.0,7738690000.0,1016196000.0,1013830000.0,,,,,1013830000.0,1013830000.0,1013830000.0,1013830000.0,,1013830000.0,,325130000.0,-3380000.0,,,3744110000.0,1469350000.0,,,,,,,,5932510000.0,5932510000.0,2023-03-31
0.0,0.266902,0.0,0.0,374100000.0,,4513500000.0,2499300000.0,7012800000.0,374100000.0,374100000.0,514779858.0,514779858.0,0.726718,0.726718,374100000.0,374100000.0,374100000.0,374100000.0,0.0,374100000.0,136200000.0,510300000.0,0.0,,,2931700000.0,2230300000.0,,,,,,,,5322600000.0,5322600000.0,2022-12-31
0.0,0.260834,0.0,0.0,627700000.0,,5883900000.0,4341000000.0,10224900000.0,627700000.0,627700000.0,514508197.0,514508197.0,1.22,1.22,627700000.0,627700000.0,627700000.0,627700000.0,0.0,627700000.0,221500000.0,849200000.0,0.0,,,4496000000.0,3461200000.0,,,,,,,,7036400000.0,7036400000.0,2024-06-30 00:00:00
