Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
0.0,178657975.0,178657975.0,258764000.0,986136000.0,5064412000.0,6050548000.0,3737878000.0,5064412000.0,5064412000.0,5258512000.0,5064412000.0,5064412000.0,4885746000.0,,,178666000.0,178666000.0,5556415000.0,263296000.0,,,29563000.0,194100000.0,194100000.0,30930000.0,5293119000.0,218086000.0,792036000.0,792036000.0,,16700000.0,4225261000.0,,4225261000.0,10620827000.0,1589830000.0,,3751000.0,,3751000.0,0.0,,1586079000.0,,1586079000.0,193150000.0,1392929000.0,,,,,9030997000.0,,,,2873614000.0,,,,,,4217201000.0,,,1940182000.0,1212810000.0,727372000.0,,2024-03-31
,178657975.0,178657975.0,37215000.0,475640000.0,4767515000.0,5243332000.0,3516597000.0,4767515000.0,4767692000.0,4924738000.0,4767692000.0,4767692000.0,4589026000.0,,,178666000.0,178666000.0,4420916000.0,244428000.0,,,31228000.0,157046000.0,157046000.0,46808000.0,4176488000.0,191646000.0,318594000.0,318594000.0,,,3576969000.0,,3576969000.0,9188608000.0,1495523000.0,,58790000.0,,58790000.0,177000.0,,1436556000.0,,1436556000.0,184168000.0,1252388000.0,,,,,7693085000.0,,,,2080716000.0,,,,,,4291818000.0,,,1320551000.0,882126000.0,438425000.0,,2023-09-30
,178657975.0,178657975.0,,161670000.0,4502600000.0,4664760000.0,3381094000.0,4502600000.0,4503090000.0,4634916000.0,4503090000.0,4503090000.0,4324424000.0,561733000.0,514541000.0,178666000.0,178666000.0,4779354000.0,199467000.0,2329000.0,25517000.0,30748000.0,131826000.0,131826000.0,27846000.0,4579887000.0,9225000.0,29844000.0,29844000.0,374000.0,14554000.0,4476043000.0,153771000.0,4322272000.0,9282444000.0,1321463000.0,4280000.0,54599000.0,6000.0,54593000.0,490000.0,490000.0,1262094000.0,-2409083000.0,3671177000.0,102704000.0,56796000.0,2917326000.0,570361000.0,23990000.0,0.0,7960981000.0,301995000.0,9905000.0,259338000.0,2273014000.0,39339000.0,662526000.0,971228000.0,599921000.0,42653000.0,4593494000.0,-215000.0,4593709000.0,782577000.0,120000.0,782457000.0,782457000.0,2023-03-31
