Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,,,413300000.0,4023400000.0,5288800000.0,2801100000.0,4023400000.0,4875500000.0,5262300000.0,4875500000.0,4875500000.0,4741800000.0,,,133700000.0,133700000.0,1392800000.0,598600000.0,,109200000.0,386800000.0,386800000.0,102600000.0,794200000.0,15800000.0,26500000.0,26500000.0,,10500000.0,441500000.0,,441500000.0,6268300000.0,2673000000.0,224400000.0,,,52500000.0,52500000.0,852100000.0,,1544000000.0,,1544000000.0,210800000.0,1333200000.0,,,,,3595300000.0,395200000.0,,,1216900000.0,,,,,299800000.0,805000000.0,878400000.0,388800000.0,489600000.0,,,2024-03-31
13366988.0,13366988.0,372100000.0,417400000.0,3961400000.0,5127200000.0,2638000000.0,3961400000.0,4709800000.0,5096600000.0,4709800000.0,4709800000.0,4576100000.0,,,133700000.0,133700000.0,1694500000.0,595100000.0,,118500000.0,386800000.0,386800000.0,89800000.0,1099400000.0,10700000.0,30600000.0,30600000.0,,81300000.0,560200000.0,,560200000.0,6404300000.0,2666900000.0,329500000.0,,,36500000.0,36500000.0,748400000.0,,1552500000.0,,1552500000.0,255900000.0,1296600000.0,,,,,3737400000.0,372000000.0,,,1593300000.0,,,,,303300000.0,732800000.0,736000000.0,690700000.0,45300000.0,,,2023-09-30
13366988.0,13366988.0,210810000.0,422931000.0,3810900000.0,5026292000.0,2403858000.0,3810900000.0,4603361000.0,4990150000.0,4603361000.0,4603361000.0,4469700000.0,1421279000.0,883283000.0,133670000.0,133670000.0,1407439000.0,581737000.0,88456000.0,106492000.0,386789000.0,386789000.0,88500000.0,825702000.0,10909000.0,36142000.0,36142000.0,69025000.0,8900000.0,654453000.0,146052000.0,508401000.0,6010800000.0,2781240000.0,2000.0,339519000.0,0.0,28200000.0,28200000.0,792461000.0,792461000.0,1628140000.0,-2697778000.0,4325918000.0,662587000.0,1087164000.0,1537125000.0,925002000.0,114040000.0,0.0,3229560000.0,216900000.0,25035000.0,186598000.0,1199413000.0,173637000.0,248197000.0,777579000.0,20031000.0,318441000.0,766597000.0,713445000.0,501324000.0,212121000.0,0.0,212121000.0,2023-03-31
