Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-1340912.609655,0.205946,247747000.0,-6511000.0,-6511000.0,185742000.0,3606000.0,188561000.0,241236000.0,237630000.0,190912087.390345,185742000.0,223554000.0,,,,,185742000.0,185742000.0,0.0,185742000.0,185742000.0,185742000.0,48174000.0,233916000.0,2797000.0,-6511000.0,6511000.0,237630000.0,34993000.0,31387000.0,3606000.0,3606000.0,272623000.0,188561000.0,461184000.0,461184000.0,2024-03-31
-2698928.701272,0.296455,257028000.0,-9104000.0,-9104000.0,167196000.0,3576000.0,175374000.0,247924000.0,244348000.0,173601071.298728,167196000.0,205853000.0,22840984.0,22778747.0,7.32,7.34,167196000.0,167196000.0,0.0,167196000.0,167196000.0,167196000.0,70452000.0,237648000.0,2404000.0,-9104000.0,9104000.0,244348000.0,30479000.0,26903000.0,3576000.0,3576000.0,274827000.0,175374000.0,450201000.0,450201000.0,2023-12-31
-2730685.549219,0.268188,224132000.0,-10182000.0,-10182000.0,148203000.0,3445000.0,141644000.0,213950000.0,210505000.0,155654314.450781,148203000.0,166865000.0,21141655.0,21051562.0,7.01,7.04,148203000.0,148203000.0,0.0,148203000.0,148203000.0,148203000.0,54312000.0,202515000.0,2192000.0,-10182000.0,10182000.0,210505000.0,25221000.0,21776000.0,3445000.0,3445000.0,235726000.0,141644000.0,377370000.0,377370000.0,2023-09-30
-632577.702758,0.271609,187717000.0,-2329000.0,-2329000.0,132479000.0,3149000.0,142099000.0,185388000.0,182239000.0,134175422.297242,132479000.0,162111000.0,20862835.0,20732238.0,6.35,6.39,132479000.0,132479000.0,0.0,132479000.0,132479000.0,132479000.0,49400000.0,181879000.0,1969000.0,-2329000.0,2329000.0,182239000.0,20012000.0,16863000.0,3149000.0,3149000.0,202251000.0,142099000.0,344350000.0,344350000.0,2023-06-30
-865772.096225,0.275285,162800000.0,-3145000.0,-3145000.0,118966000.0,2993000.0,109030000.0,159655000.0,156662000.0,121245227.903775,118966000.0,159845000.0,,,,,118966000.0,118966000.0,0.0,118966000.0,118967000.0,118967000.0,45190000.0,164157000.0,866000.0,-3567000.0,3810000.0,165550000.0,50815000.0,-15146000.0,2993000.0,2442000.0,216365000.0,109030000.0,325395000.0,325395000.0,2023-03-31
,,,,,,,,,,,,,21020848.0,20727875.0,5.66,5.74,,,,,,,,,,,,,,,,,,,,,2022-12-31
-7594878.761697,0.250062,308460000.0,-30372000.0,-30372000.0,184883000.0,3871000.0,205936000.0,278088000.0,274217000.0,207660121.238303,184883000.0,230841000.0,23024035.0,22768842.0,8.03,8.12,184883000.0,184883000.0,0.0,184883000.0,184883000.0,184883000.0,61648000.0,246531000.0,2686000.0,-30372000.0,30372000.0,274217000.0,24905000.0,21034000.0,3871000.0,3871000.0,299122000.0,205936000.0,505058000.0,505058000.0,2024-06-30 00:00:00
