Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
23459800.0,23459800.0,2774337000.0,2776551000.0,171981000.0,2948532000.0,68549000.0,171981000.0,,171981000.0,1613604000.0,171981000.0,171981000.0,-62617000.0,,,234598000.0,234598000.0,4212896000.0,1453366000.0,5804000.0,,,,1441623000.0,,1441623000.0,5869000.0,2759530000.0,863043000.0,1334928000.0,,1334928000.0,,11049000.0,519076000.0,,,,519076000.0,4384877000.0,1556798000.0,1564000.0,,815207000.0,2297000.0,2297000.0,0.0,,723819000.0,,723819000.0,0.0,723819000.0,,,,,2828079000.0,8508000.0,903170000.0,,,895704000.0,,,,,,,997293000.0,,,23404000.0,21190000.0,2214000.0,,2024-03-31
23459800.0,23459800.0,3203895000.0,3270268000.0,298294000.0,3568672000.0,449806000.0,298294000.0,0.0,298404000.0,1876923000.0,298404000.0,298404000.0,63806000.0,,,234598000.0,234598000.0,4506789000.0,1592908000.0,7902000.0,,,,1578519000.0,0.0,1578519000.0,6417000.0,2913881000.0,396833000.0,1691749000.0,0.0,1691749000.0,,11711000.0,763842000.0,,,0.0,763842000.0,4805193000.0,1441506000.0,466000.0,,670815000.0,2449000.0,2449000.0,110000.0,,755533000.0,,755533000.0,0.0,755533000.0,,,,,3363687000.0,11879000.0,1132437000.0,,,1097526000.0,,,,,,,1034642000.0,,,87203000.0,20830000.0,66373000.0,,2023-09-30
23459800.0,23459800.0,3963695000.0,3965294000.0,613903500.0,4579313500.0,-294145000.0,613903500.0,0.0,614019500.0,2277941500.0,614019500.0,614019500.0,379421000.0,-107476000.0,430622400.0,234598000.0,234598000.0,4664283500.0,1678310500.0,-500.0,6417000.0,7972000.0,0.0,1663922000.0,0.0,1663922000.0,6417000.0,2985973000.0,21249000.0,2301372000.0,0.0,2301372000.0,3213000.0,,615391000.0,44126000.0,0.0,0.0,571265000.0,5278303000.0,2586475000.0,-2000.0,14934000.0,533594000.0,0.0,2799000.0,116000.0,116000.0,2037833000.0,-3572628000.0,5610461000.0,14427000.0,262247000.0,4070978000.0,1159011000.0,103798000.0,0.0,2691828000.0,14856000.0,100575000.0,67172000.0,12733000.0,1207941000.0,-1000.0,250346000.0,927807000.0,29789000.0,59200000.0,399000.0,1242209000.0,-5883000.0,1248092000.0,1599000.0,118752000.0,1599000.0,1599000.0,2023-03-31
