Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Capital Lease Obligations,Long Term Capital Lease Obligation,Long Term Provisions,Current Capital Lease Obligation,Goodwill And Other Intangible Assets,Goodwill,Construction In Progress,Other Properties,Other Short Term Investments
,,265809000.0,269410000.0,215618000.0,485028000.0,-19669000.0,215618000.0,215618000.0,285061000.0,215618000.0,215618000.0,37125000.0,,,102405000.0,102405000.0,397440000.0,76093000.0,,6650000.0,69443000.0,69443000.0,321347000.0,61141000.0,199967000.0,199967000.0,3521000.0,56718000.0,,56718000.0,613058000.0,311380000.0,28272000.0,,,,,210365000.0,,,,,,,301678000.0,1614000.0,,152575000.0,,,,,37377000.0,,106511000.0,3601000.0,3601000.0,3601000.0,2023-09-30,,,,,,,,,
50652330.0,50652330.0,335587000.0,343734000.0,228078000.0,571812000.0,157506000.0,228078000.0,228078000.0,377739000.0,228078000.0,228078000.0,37125000.0,,,102405000.0,102405000.0,469058000.0,156135000.0,,6474000.0,149661000.0,149661000.0,312923000.0,61941000.0,194073000.0,194073000.0,2915000.0,53994000.0,,53994000.0,697136000.0,226707000.0,27957000.0,,,,,126060000.0,,,,,,,470429000.0,1448000.0,,156444000.0,,,,,205569000.0,,98821000.0,8147000.0,8147000.0,8147000.0,2023-06-30,,,,,,,,,
50652330.0,50652330.0,179158000.0,212540000.0,225797000.0,438337000.0,114758000.0,225797000.0,225797000.0,275204000.0,225797000.0,225797000.0,37125000.0,30486000.0,56881000.0,101305000.0,101305000.0,261525000.0,55706000.0,-1000.0,6300000.0,49407000.0,49407000.0,205819000.0,3203000.0,163133000.0,163133000.0,1793000.0,32979000.0,3357000.0,29622000.0,487322000.0,166743141.0,,9155000.0,22000000.0,27672000.0,27672000.0,107916141.0,-100868055.0,208784196.0,156114780.0,37045957.0,15623459.0,0.0,320577000.0,446000.0,67797000.0,155965000.0,18871000.0,14115000.0,74240000.0,48739000.0,3434000.0,1307000.0,58246000.0,33382000.0,33382000.0,33382000.0,2023-03-31,,,,,,,,,
54761411.0,54761411.0,433300000.0,444000000.0,190400000.0,642600000.0,75000000.0,190400000.0,202900000.0,365500000.0,202900000.0,202900000.0,101600000.0,,,101300000.0,101300000.0,540800000.0,172400000.0,100000.0,4900000.0,164200000.0,162600000.0,368400000.0,13100000.0,279800000.0,277100000.0,12600000.0,47800000.0,,47800000.0,743700000.0,300300000.0,32400000.0,,,39000000.0,39000000.0,216400000.0,,216400000.0,,,,,443400000.0,22100000.0,,139000000.0,,,,,,,108300000.0,174000000.0,6400000.0,,2024-03-31 00:00:00,4300000.0,1600000.0,3200000.0,2700000.0,12500000.0,12500000.0,10000000.0,206400000.0,167600000.0
