Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
176015.0,119199826.0,119375841.0,6012810000.0,6446970000.0,9112110000.0,15239450000.0,6044230000.0,9112110000.0,328580000.0,9121060000.0,11565430000.0,9121060000.0,9121060000.0,7929060000.0,,,1192000000.0,1192000000.0,9787800000.0,2780220000.0,-10000.0,,39770000.0,2703780000.0,259410000.0,2444370000.0,36680000.0,7007580000.0,531670000.0,3743190000.0,69170000.0,3674020000.0,,2810000.0,2168750000.0,,3220000.0,2165530000.0,18908860000.0,5857050000.0,96320000.0,,77780000.0,307120000.0,307120000.0,,8950000.0,8950000.0,4579510000.0,,4579510000.0,691210000.0,3888300000.0,,,,,13051810000.0,3928900000.0,,6153170000.0,,,,,251440000.0,2442560000.0,,,275740000.0,170160000.0,105580000.0,,,2024-03-31
176015.0,117199826.0,117375841.0,6052810000.0,6256060000.0,8543150000.0,14638980000.0,5634180000.0,8543150000.0,163490000.0,8546410000.0,11057740000.0,8546410000.0,8546410000.0,7372650000.0,,,1173760000.0,1173760000.0,8890660000.0,2651680000.0,,,0.0,2607350000.0,96020000.0,2511330000.0,44330000.0,6238980000.0,540890000.0,3648710000.0,67470000.0,3581240000.0,,5050000.0,1647460000.0,,2760000.0,1644700000.0,17437070000.0,5563910000.0,81320000.0,,54160000.0,547610000.0,547610000.0,,3260000.0,3260000.0,4200800000.0,,4200800000.0,594070000.0,3606730000.0,,,,,11873160000.0,3490440000.0,,6047880000.0,,,,,195080000.0,1973500000.0,,,166260000.0,126500000.0,39760000.0,,,2023-09-30
176015.0,117199826.0,117375841.0,5756470000.0,6062390000.0,8077140000.0,13973550000.0,5403360000.0,8077140000.0,167930000.0,8079090000.0,10631420000.0,8079090000.0,8079090000.0,153680000.0,-913840000.0,7600240000.0,1172000000.0,1172000000.0,8596900000.0,2712580000.0,,38920000.0,19000000.0,2654660000.0,102330000.0,2552330000.0,38920000.0,5884320000.0,599390000.0,3407730000.0,65600000.0,3342130000.0,103030000.0,5050000.0,1799380000.0,213640000.0,1160000.0,1584580000.0,16675990000.0,5388310000.0,20000.0,149630000.0,,400530000.0,351300000.0,49230000.0,1950000.0,1950000.0,4200640000.0,-3573330000.0,7773970000.0,447060000.0,310300000.0,5556230000.0,1003390000.0,456990000.0,0.0,11287680000.0,10000.0,2715670000.0,5735500000.0,3353700000.0,1709870000.0,671930000.0,860220000.0,140970000.0,1682340000.0,-610100000.0,2292440000.0,152970000.0,14980000.0,137990000.0,49470000.0,88520000.0,2023-03-31
