Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-19974535.367545,0.216644,591000000.0,-92200000.0,-92200000.0,282300000.0,52300000.0,8826900000.0,498800000.0,446500000.0,-86000000.0,86000000.0,354525464.632455,282300000.0,9234500000.0,,,,,282300000.0,282300000.0,0.0,282300000.0,282400000.0,282400000.0,78100000.0,360500000.0,,,-86000000.0,86000000.0,577200000.0,407600000.0,136900000.0,52300000.0,52300000.0,76200000.0,76200000.0,984800000.0,8826900000.0,9811700000.0,9811700000.0,2024-03-31
-31871523.178808,0.258278,633500000.0,-123400000.0,-123400000.0,280000000.0,40300000.0,7974000000.0,510100000.0,469800000.0,-92300000.0,92300000.0,371528476.821192,280000000.0,8365800000.0,27424094.0,27424094.0,10.21,10.21,280000000.0,280000000.0,0.0,280000000.0,280000000.0,280000000.0,97500000.0,377500000.0,12700000.0,0.0,-92300000.0,92300000.0,580500000.0,391800000.0,134400000.0,40300000.0,40300000.0,48700000.0,48700000.0,972300000.0,7974000000.0,8946300000.0,8946300000.0,2023-12-31
2714681.892333,0.315661,235800000.0,8600000.0,8600000.0,83900000.0,36700000.0,9352700000.0,244400000.0,207700000.0,-85100000.0,85100000.0,78014681.892333,83900000.0,9722000000.0,27418301.0,27418301.0,3.06,3.06,83900000.0,83900000.0,0.0,83900000.0,83900000.0,83900000.0,38700000.0,122600000.0,,0.0,-85100000.0,85100000.0,199100000.0,369300000.0,133300000.0,36700000.0,36700000.0,47600000.0,47600000.0,568400000.0,9352700000.0,9921100000.0,9921100000.0,2023-09-30
12501189.57226,0.258289,876000000.0,48400000.0,48400000.0,586100000.0,34300000.0,8426200000.0,924400000.0,890100000.0,-99900000.0,99900000.0,550201189.57226,586100000.0,8747100000.0,27439164.0,27439164.0,42.72,42.72,586100000.0,586100000.0,0.0,586100000.0,586100000.0,586100000.0,204100000.0,790200000.0,,0.0,-99900000.0,99900000.0,841600000.0,320900000.0,116100000.0,34300000.0,34300000.0,30700000.0,30700000.0,1162500000.0,8426200000.0,9588700000.0,9588700000.0,2023-06-30
-40284188.034188,0.263295,690800000.0,-153000000.0,-153000000.0,310300000.0,60500000.0,6634900000.0,537800000.0,477300000.0,-77700000.0,56100000.0,423015811.965812,310300000.0,7030000000.0,,,,,310300000.0,310300000.0,0.0,310300000.0,310300000.0,310300000.0,110900000.0,421200000.0,18100000.0,-14300000.0,-77700000.0,56100000.0,667400000.0,395100000.0,-87200000.0,60500000.0,58000000.0,265100000.0,179000000.0,1062500000.0,6634900000.0,7697400000.0,7697400000.0,2023-03-31
,,,,,,,,,,,,,,,27430279.0,27430279.0,5.02,5.02,,,,,,,,,9600000.0,0.0,,,,,,,,,,,,,,2022-12-31
-48615066.718487,0.267263,1097700000.0,-181900000.0,-181900000.0,565600000.0,54000000.0,10729900000.0,915800000.0,861800000.0,-89900000.0,89900000.0,698884933.281513,565600000.0,11159600000.0,27442989.0,27442989.0,20.61,20.61,565600000.0,565600000.0,0.0,565600000.0,565600000.0,565600000.0,206300000.0,771900000.0,,0.0,-89900000.0,89900000.0,1043700000.0,429700000.0,132400000.0,54000000.0,54000000.0,66900000.0,66900000.0,1473400000.0,10729900000.0,12203300000.0,12203300000.0,2024-06-30 00:00:00
