Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Non Current Pension And Other Postretirement Benefit Plans,Investmentsin Associatesat Cost
,148911400.0,148911400.0,27615800000.0,27859000000.0,87825000000.0,115826700000.0,27805000000.0,87825000000.0,241500000.0,88209200000.0,101556200000.0,88209200000.0,88209200000.0,86720100000.0,,,1489100000.0,1489100000.0,95103500000.0,22027400000.0,194900000.0,,,8143100000.0,13515100000.0,168100000.0,13347000000.0,110800000.0,73076100000.0,5139600000.0,14343900000.0,73400000.0,14270500000.0,,5352300000.0,42825100000.0,,42825100000.0,183312700000.0,82431100000.0,1399000000.0,,,,6900000.0,6900000.0,2398000000.0,,384200000.0,,76776700000.0,,76776700000.0,2101100000.0,74675600000.0,,,,,100881100000.0,5008200000.0,10549800000.0,,,,78309100000.0,,,,222600000.0,,4615500000.0,2175900000.0,2174200000.0,1700000.0,,2024-03-31,,
,148911400.0,148911400.0,34019300000.0,34230600000.0,77848000000.0,112271200000.0,19048900000.0,77848000000.0,208700000.0,78249300000.0,92010500000.0,78249300000.0,78249300000.0,76760200000.0,,,1489100000.0,1489100000.0,103628600000.0,23742000000.0,199500000.0,1538200000.0,,7929900000.0,13922400000.0,161200000.0,13761200000.0,90400000.0,79886600000.0,16304100000.0,20308200000.0,47500000.0,20260700000.0,,5283000000.0,32249200000.0,,32249200000.0,181877900000.0,82942400000.0,1268400000.0,,,1100000.0,4200000.0,4200000.0,2189900000.0,2189900000.0,401300000.0,401300000.0,78166200000.0,,78166200000.0,1306600000.0,76859600000.0,,,,,98935500000.0,3884000000.0,10048700000.0,,,,69982200000.0,,,,135500000.0,,13176600000.0,1708500000.0,1705900000.0,2600000.0,,2023-09-30,,
500000000.0,148911400.0,148911400.0,42342300000.0,42596000000.0,64346100000.0,107105400000.0,10850600000.0,64346100000.0,241400000.0,64750800000.0,86342700000.0,64750800000.0,64750800000.0,63261700000.0,5963000000.0,12500400000.0,1489100000.0,1489100000.0,95610300000.0,29779700000.0,204000000.0,,204000000.0,7645800000.0,21774700000.0,182800000.0,21591900000.0,90400000.0,65830600000.0,3944400000.0,20821300000.0,58600000.0,20762700000.0,7269400000.0,5246000000.0,30145200000.0,74100000.0,30071100000.0,160361100000.0,83679900000.0,578000000.0,31300000.0,312000000.0,1100000.0,1100000.0,1100000.0,2059600000.0,2059600000.0,404700000.0,404700000.0,79275100000.0,-32206400000.0,111481500000.0,3314300000.0,648300000.0,104965800000.0,2001400000.0,551700000.0,0.0,76681200000.0,196700000.0,8678700000.0,30100000.0,74100000.0,789300000.0,59735900000.0,16816900000.0,8022400000.0,34896600000.0,3450800000.0,214500000.0,2986700000.0,524400000.0,512100000.0,12300000.0,12300000.0,2023-03-31,,
