Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Date
0.0,0.233698,0.0,0.0,1596565000.0,5399474000.0,3556727000.0,8956201000.0,1596565000.0,1596565000.0,,,,,1596565000.0,1596565000.0,1596565000.0,1596565000.0,1596565000.0,486902000.0,2083467000.0,0.0,3784073000.0,1679937000.0,6606227000.0,6606227000.0,2024-03-31
0.0,0.236709,0.0,0.0,1160576000.0,4823038000.0,3236740000.0,8059778000.0,1160576000.0,1160576000.0,1027058407.0,1018049123.0,1.13,1.14,1160576000.0,1160576000.0,1160576000.0,1160576000.0,1160576000.0,359913000.0,1520489000.0,0.0,3088105000.0,1291283000.0,5649614000.0,5649614000.0,2023-12-31
0.0,0.259067,0.0,0.0,1144192000.0,4415206000.0,3147978000.0,7563184000.0,1144192000.0,1144192000.0,994949565.0,977941880.0,1.15,1.17,1144192000.0,1144192000.0,1144192000.0,1144192000.0,1144192000.0,400066000.0,1544258000.0,0.0,3090088000.0,1324413000.0,5466898000.0,5466898000.0,2023-09-30
0.0,0.231989,,,1337980000.0,4095887000.0,2815207000.0,6911094000.0,1337980000.0,1337980000.0,,,,,1337980000.0,1337980000.0,1337980000.0,1337980000.0,1337980000.0,404157000.0,1742137000.0,,2856016000.0,-748047000.0,4787354000.0,4787354000.0,2023-03-31
0.0,0.235825,0.0,0.0,935016000.0,3935256000.0,2472975000.0,6408231000.0,935016000.0,935016000.0,1095904663.0,1095904663.0,0.853191,0.853191,935016000.0,935016000.0,935016000.0,935016000.0,935016000.0,288546000.0,1223562000.0,0.0,2550349000.0,1093267000.0,4646943000.0,4646943000.0,2022-12-31
0.0,0.26226,0.0,0.0,1373967000.0,5731640000.0,3927529000.0,9659169000.0,1373967000.0,1373967000.0,1108037903.0,1099173600.0,1.24,1.25,1373967000.0,1373967000.0,1373967000.0,1373967000.0,1373967000.0,488434000.0,1862401000.0,0.0,3665316000.0,1612900000.0,6778131000.0,6778131000.0,2024-06-30 00:00:00
0.0,0.256423,0.0,0.0,1074952000.0,4220308000.0,2984645000.0,7204953000.0,1074952000.0,1074952000.0,1095904663.0,1095904663.0,0.980881,0.980881,1074952000.0,1074952000.0,1074952000.0,1074952000.0,1074952000.0,370697000.0,1445649000.0,0.0,2927095000.0,1224215000.0,5139299000.0,5139299000.0,2023-06-30 00:00:00
