Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Preferred Securities Outside Stock Equity,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Other Receivables,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
12748457.0,12748457.0,412415000.0,415000000.0,-1262100000.0,-847100000.0,-924161000.0,-1262100000.0,-1262100000.0,-888600000.0,-1262100000.0,0.0,-1262100000.0,-1389585000.0,,,127485000.0,127485000.0,1354759000.0,373500000.0,,373500000.0,373500000.0,981259000.0,205000.0,41500000.0,41500000.0,47452000.0,1783000.0,,,,1783000.0,92659000.0,35561000.0,2566000.0,,8471000.0,,0.0,24524000.0,,,,,,,,57098000.0,45717000.0,,,11381000.0,8796000.0,2585000.0,,2024-03-31
12748457.0,12748457.0,411791000.0,415000000.0,-1213101000.0,-798101000.0,-868859000.0,-1213101000.0,-1213101000.0,-839601000.0,-1213101000.0,,-1213101000.0,-1340586000.0,,,127485000.0,127485000.0,1335704000.0,373500000.0,,373500000.0,373500000.0,962204000.0,96000.0,41500000.0,41500000.0,47452000.0,2523000.0,,,,2523000.0,122603000.0,29258000.0,2006000.0,,2275000.0,,0.0,24977000.0,,,,,,,,93345000.0,80460000.0,,,12885000.0,9676000.0,3209000.0,,2023-09-30
12748457.0,12748457.0,412049000.0,2500000.0,-1188911000.0,-1186411000.0,-802330000.0,-1188911000.0,-1188911000.0,-1188911000.0,-1188911000.0,0.0,-1188911000.0,-1316396000.0,-2299581000.0,827980000.0,127485000.0,127485000.0,1317536000.0,415000000.0,415000000.0,415000000.0,415000000.0,902536000.0,110000.0,2500000.0,2500000.0,47410000.0,852626000.0,1415000.0,848347000.0,96000.0,2768000.0,128625000.0,28419000.0,2566000.0,2566000.0,435000.0,435000.0,0.0,25418000.0,-5379000.0,30797000.0,364000.0,6834000.0,2042000.0,21557000.0,0.0,100206000.0,89451000.0,87907000.0,1544000.0,10755000.0,7804000.0,2951000.0,2951000.0,2023-03-31
