Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Write Off
-17073668.85485,0.101629,5189000000.0,-168000000.0,-168000000.0,3695000000.0,799000000.0,8034000000.0,5021000000.0,4222000000.0,-109000000.0,109000000.0,3845926331.14515,3695000000.0,13623000000.0,,,,,3695000000.0,3695000000.0,0.0,3695000000.0,3695000000.0,3695000000.0,418000000.0,4113000000.0,579000000.0,-168000000.0,-109000000.0,109000000.0,3787000000.0,5589000000.0,3006000000.0,799000000.0,799000000.0,9376000000.0,8034000000.0,17410000000.0,17410000000.0,2024-03-31,
0.0,0.146824,6111000000.0,0.0,0.0,4486000000.0,783000000.0,8813000000.0,6111000000.0,5328000000.0,-70000000.0,70000000.0,4486000000.0,4486000000.0,14222000000.0,151656525.0,151605272.0,29.58,29.59,4486000000.0,4486000000.0,0.0,4486000000.0,4486000000.0,4486000000.0,772000000.0,5258000000.0,561000000.0,0.0,-70000000.0,70000000.0,4753000000.0,5409000000.0,2770000000.0,783000000.0,783000000.0,10162000000.0,8813000000.0,18975000000.0,18975000000.0,2023-12-31,
0.0,0.06189,6003000000.0,0.0,0.0,4805000000.0,803000000.0,11311000000.0,6003000000.0,5200000000.0,-78000000.0,78000000.0,4805000000.0,4805000000.0,16458000000.0,151768793.0,151720871.0,31.66,31.67,4805000000.0,4805000000.0,0.0,4805000000.0,4805000000.0,4805000000.0,317000000.0,5122000000.0,469000000.0,0.0,-78000000.0,78000000.0,4711000000.0,5147000000.0,2706000000.0,803000000.0,803000000.0,9858000000.0,11311000000.0,21169000000.0,21169000000.0,2023-09-30,
0.0,0.140323,5194000000.0,0.0,0.0,3829000000.0,697000000.0,10218000000.0,5194000000.0,4497000000.0,-43000000.0,43000000.0,3829000000.0,3829000000.0,15123000000.0,151703645.0,151703645.0,25.24,25.24,3829000000.0,3829000000.0,0.0,3829000000.0,3829000000.0,3829000000.0,625000000.0,4454000000.0,469000000.0,0.0,-43000000.0,43000000.0,3981000000.0,4905000000.0,2473000000.0,697000000.0,697000000.0,8886000000.0,10218000000.0,19104000000.0,19104000000.0,2023-06-30,
0.0,0.156137,3935000000.0,,,2805000000.0,578000000.0,8639000000.0,3935000000.0,3357000000.0,-33000000.0,33000000.0,2805000000.0,2805000000.0,12806000000.0,,,,,2805000000.0,2805000000.0,0.0,2805000000.0,2805000000.0,2805000000.0,519000000.0,3324000000.0,495000000.0,,-33000000.0,33000000.0,2850000000.0,4167000000.0,2244000000.0,578000000.0,578000000.0,7017000000.0,8639000000.0,15656000000.0,15656000000.0,2023-03-31,
,,,0.0,0.0,,,,,,,,,,,151637931.0,151637931.0,23.2,23.2,,,,,,,,,,0.0,,,,,,,,,,,,2022-12-31,
-8092000.706339,0.207487,6619000000.0,-39000000.0,-39000000.0,4488000000.0,834000000.0,9977000000.0,6580000000.0,5746000000.0,-83000000.0,83000000.0,4518907999.293661,4488000000.0,15652000000.0,151672862.0,151672862.0,29.59,29.59,4488000000.0,4488000000.0,0.0,4488000000.0,4488000000.0,4488000000.0,1175000000.0,5663000000.0,727000000.0,-39000000.0,-83000000.0,83000000.0,5037000000.0,5675000000.0,2840000000.0,834000000.0,834000000.0,10712000000.0,9977000000.0,20689000000.0,20689000000.0,2024-06-30 00:00:00,39000000.0
