Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Work In Process,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
124644000.0,124644000.0,3424320000.0,3955170000.0,7209020000.0,11165810000.0,5525520000.0,7209020000.0,7210640000.0,7460890000.0,7210640000.0,7210640000.0,5964200000.0,,,1246440000.0,1246440000.0,8207660000.0,300780000.0,,34750000.0,250250000.0,250250000.0,15780000.0,7906880000.0,679710000.0,3704920000.0,3704920000.0,,2620000.0,3478350000.0,,87440000.0,3390910000.0,15418300000.0,1985900000.0,5970000.0,,166550000.0,166550000.0,92730000.0,1620000.0,1620000.0,1719030000.0,,1719030000.0,55710000.0,1663320000.0,,,,,13432400000.0,1090180000.0,,,4601440000.0,,28110000.0,44000000.0,6702280000.0,,,966390000.0,435540000.0,530850000.0,,2024-03-31
124644000.0,124644000.0,1985500000.0,3211410000.0,6391170000.0,9602580000.0,5183680000.0,6391170000.0,6391170000.0,6895370000.0,6391170000.0,6391170000.0,5144730000.0,,,1246440000.0,1246440000.0,6167890000.0,553690000.0,,36860000.0,504200000.0,504200000.0,12630000.0,5614200000.0,365720000.0,2707210000.0,2707210000.0,,280000.0,2286490000.0,,0.0,2286490000.0,12559060000.0,1761180000.0,32950000.0,,65860000.0,65860000.0,93480000.0,,,1568890000.0,,1568890000.0,45890000.0,1523000000.0,,,,,10797880000.0,993180000.0,,,4648560000.0,,63570000.0,122260000.0,3040800000.0,,,1929510000.0,703600000.0,1225910000.0,,2023-09-30
124644000.0,124644000.0,2353730000.0,2503740000.0,3145070000.0,5648810000.0,2265040000.0,3145070000.0,3145070000.0,3748040000.0,3145070000.0,3145070000.0,,1584570000.0,615000000.0,934440000.0,934440000.0,5109760000.0,643890000.0,9100000.0,31820000.0,602970000.0,602970000.0,,4465870000.0,,1900770000.0,1900770000.0,330000.0,,2187110000.0,63680000.0,61410000.0,2062020000.0,8254830000.0,1523920000.0,260000.0,3000000.0,8630000.0,8630000.0,93840000.0,,,1324090000.0,-107570000.0,1431660000.0,70420000.0,,810500000.0,298100000.0,252640000.0,0.0,6730910000.0,,549500000.0,717230000.0,3125500000.0,3125500000.0,126350000.0,84920000.0,1977400000.0,-14900000.0,1992300000.0,150010000.0,,150010000.0,150010000.0,2023-03-31
124644000.0,124644000.0,2499020000.0,2511760000.0,2741190000.0,5252950000.0,2063130000.0,2741190000.0,2741190000.0,3306030000.0,2741190000.0,2741190000.0,,1807980000.0,615000000.0,311480000.0,311480000.0,4697360000.0,605390000.0,12890000.0,27660000.0,564840000.0,564840000.0,,4091970000.0,,1946920000.0,1946920000.0,240000.0,,1633570000.0,61290000.0,,1572280000.0,7438550000.0,1283450000.0,260000.0,3000000.0,9270000.0,9270000.0,94020000.0,,,1116700000.0,-168270000.0,1284970000.0,40030000.0,,724650000.0,267520000.0,252770000.0,0.0,6155100000.0,,323500000.0,768040000.0,3190740000.0,3190740000.0,134690000.0,58810000.0,1666580000.0,-12060000.0,1678640000.0,12740000.0,,12740000.0,12740000.0,2022-12-31
