Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Held To Maturity Securities,Cash Equivalents
166645705.0,166645705.0,131300000.0,16949500000.0,16985800000.0,8102500000.0,16949500000.0,131300000.0,16985800000.0,16985800000.0,16985800000.0,16985800000.0,15319300000.0,,,1666500000.0,1666500000.0,3166500000.0,1509700000.0,,1249300000.0,108600000.0,108600000.0,151800000.0,1656800000.0,126000000.0,22700000.0,22700000.0,,44000000.0,1180600000.0,,,,1180600000.0,20152300000.0,10393000000.0,75500000.0,,1284700000.0,1284700000.0,,0.0,0.0,4200000.0,36300000.0,,8819500000.0,,8819500000.0,161800000.0,8657700000.0,,,,,9759300000.0,275000000.0,,,,2227900000.0,,,,,,3401800000.0,,,3854600000.0,2936600000.0,918000000.0,,2024-03-31,,,
166645705.0,166645705.0,79800000.0,16476300000.0,16506000000.0,7293800000.0,16476300000.0,79800000.0,16506000000.0,16506000000.0,16506000000.0,16506000000.0,14839500000.0,,,1666500000.0,1666500000.0,3077100000.0,1432900000.0,,1221000000.0,57100000.0,57100000.0,154800000.0,1644200000.0,104300000.0,22700000.0,22700000.0,,49500000.0,1238400000.0,,,2000000.0,1236400000.0,19583100000.0,10645100000.0,127000000.0,,1500500000.0,1500500000.0,,0.0,0.0,4300000.0,29700000.0,,8816800000.0,,8816800000.0,166700000.0,8650100000.0,,,,,8938000000.0,209500000.0,,,,2776400000.0,,,,,,3189000000.0,,,2763100000.0,2352600000.0,410500000.0,,2023-09-30,,,
166642855.0,166642855.0,97900000.0,15489300000.0,15521300000.0,7102200000.0,15489300000.0,97900000.0,15521300000.0,15521300000.0,15521300000.0,15521300000.0,57700000.0,13158500000.0,290400000.0,1666400000.0,1666400000.0,3049600000.0,1339000000.0,162200000.0,1108500000.0,68300000.0,68300000.0,162200000.0,1710600000.0,80000000.0,29600000.0,29600000.0,49200000.0,49200000.0,1468900000.0,158100000.0,38100000.0,,1272700000.0,18570900000.0,9758100000.0,2600000.0,100400000.0,420500000.0,419100000.0,1400000.0,0.0,0.0,4400000.0,32000000.0,32000000.0,8945300000.0,-3565000000.0,12510300000.0,102800000.0,8842500000.0,7495800000.0,2370400000.0,2541300000.0,0.0,8812800000.0,115600000.0,0.0,38100000.0,81100000.0,2848900000.0,1221900000.0,298000000.0,1329000000.0,55100000.0,30700000.0,3459800000.0,-8800000.0,3468600000.0,2299100000.0,2063400000.0,235700000.0,235700000.0,2023-03-31,,,
