Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Rent And Landing Fees,Total Revenue,Operating Revenue,Date,Reconciled Depreciation,Depreciation And Amortization In Income Statement,Depreciation Income Statement
0.0,0.148525,,,546257000.0,28662677000.0,23230727000.0,51893404000.0,546257000.0,546257000.0,,,,,546257000.0,546257000.0,546257000.0,546257000.0,0.0,546257000.0,95285000.0,641542000.0,,17219073000.0,4265516000.0,875770000.0,35603866000.0,35603866000.0,2024-03-31,,,
0.0,0.245631,0.0,0.0,7327176000.0,25253552000.0,21400749000.0,46654301000.0,7327176000.0,7327176000.0,1610368352.0,1610368352.0,4.55,4.55,7327176000.0,7327176000.0,7327176000.0,7327176000.0,0.0,7327176000.0,2385815000.0,9712991000.0,0.0,14152144000.0,4423987000.0,740915000.0,30705201000.0,30705201000.0,2023-12-31,,,
0.0,0.238672,0.0,0.0,7211658000.0,24433642000.0,20485706000.0,44919348000.0,7211658000.0,7211658000.0,1613346309.0,1613346309.0,4.47,4.47,7211658000.0,7211658000.0,7211658000.0,7211658000.0,0.0,7211658000.0,2260816000.0,9472474000.0,0.0,14002184000.0,5379262000.0,,29836181000.0,29836181000.0,2023-09-30,,,
0.0,0.249068,0.0,0.0,7210536000.0,24906205000.0,20322924000.0,45229129000.0,7210536000.0,7210536000.0,1609494643.0,1609494643.0,4.48,4.48,7210536000.0,7210536000.0,7210536000.0,7210536000.0,0.0,7210536000.0,2391580000.0,9602116000.0,0.0,13134377000.0,4337524000.0,679812000.0,28757367000.0,28757367000.0,2023-06-30,,,
-1090696.560847,0.238091,-4581000.0,-4581000.0,8082903000.0,24717741000.0,17964768000.0,42682509000.0,8086393303.439153,8082903000.0,,,,,8082903000.0,8082903000.0,8082903000.0,8082918000.000004,0.0,8082918000.000004,2525858000.0,10608776000.000004,-4581000.0,13129123000.0,-594227000.0,,30947305000.0,30947305000.0,2023-03-31,,,
,,0.0,0.0,,,,,,,1605356354.0,1605356354.0,1.81,1.81,,,,,,,,,0.0,,,578772000.0,,,2022-12-31,,,
0.0,0.249971,0.0,0.0,10634605000.0,30050253000.0,25307976000.0,55358229000.0,10634605000.0,10634605000.0,1611303788.0,1611303788.0,6.6,6.6,10634605000.0,10634605000.0,10634605000.0,10634605000.0,0.0,10634605000.0,3544315000.0,14178920000.0,0.0,15916695000.0,4340242000.0,885571000.0,35325607000.0,35325607000.0,2024-06-30 00:00:00,637128000.0,637128000.0,637128000.0
