Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges
0.0,0.304217,190400000.0,-44800000.0,181200000.0,119900000.0,190400000.0,9200000.0,-75600000.0,75600000.0,-44800000.0,-44800000.0,633800000.0,,,,,-44800000.0,-44800000.0,0.0,-44800000.0,1400000.0,-46200000.0,-46200000.0,-20200000.0,-66400000.0,59300000.0,-75600000.0,75600000.0,-35700000.0,513900000.0,332700000.0,181200000.0,181200000.0,478200000.0,119900000.0,598100000.0,598100000.0,2024-03-31,,,
0.0,0.106829,26900000.0,-185300000.0,196700000.0,273600000.0,26900000.0,-169800000.0,-68900000.0,68900000.0,-185300000.0,-185300000.0,790700000.0,71574222.0,71574222.0,-4.71,-4.71,-185300000.0,-185300000.0,0.0,-185300000.0,27900000.0,-213200000.0,-213200000.0,-25500000.0,-238700000.0,47800000.0,-68900000.0,68900000.0,-217600000.0,517100000.0,320400000.0,196700000.0,196700000.0,299500000.0,273600000.0,573100000.0,573100000.0,2023-12-31,,,
0.0,0.161754,-28500000.0,-201000000.0,186200000.0,277400000.0,-28500000.0,-214700000.0,-70300000.0,70300000.0,-201000000.0,-201000000.0,790000000.0,71574222.0,71574222.0,-5.1,-5.1,-201000000.0,-201000000.0,0.0,-201000000.0,37900000.0,-238900000.0,-238900000.0,-46100000.0,-285000000.0,47600000.0,-70300000.0,70300000.0,-262300000.0,512600000.0,326400000.0,186200000.0,186200000.0,250300000.0,277400000.0,527700000.0,527700000.0,2023-09-30,,,
0.0,0.142097,18000000.0,-126200000.0,161000000.0,210500000.0,18000000.0,-143000000.0,-44900000.0,44900000.0,-126200000.0,-126200000.0,620100000.0,71574222.0,71574222.0,-3.21,-3.21,-126200000.0,-126200000.0,0.0,-126200000.0,34900000.0,-161200000.0,-161200000.0,-26700000.0,-187900000.0,35500000.0,-44900000.0,44900000.0,-178500000.0,409600000.0,248600000.0,161000000.0,161000000.0,231100000.0,210500000.0,441600000.0,441600000.0,2023-06-30,,,
0.0,0.259434,31100000.0,-58400000.0,141700000.0,196000000.0,31100000.0,-110600000.0,14100000.0,37800000.0,-58400000.0,-58400000.0,609600000.0,,,,,-58400000.0,-58400000.0,0.0,-58400000.0,39800000.0,-98200000.0,-98200000.0,-38500000.0,-148400000.0,59700000.0,14100000.0,37800000.0,-155900000.0,413600000.0,-205800000.0,141700000.0,77800000.0,257700000.0,196000000.0,453700000.0,453700000.0,2023-03-31,,,
,,,,,,,,,,,,,71574222.0,71574222.0,-2.17,-2.17,,,,,,,,,,,,,,,,,,,,,,2022-12-31,,,
-89404.934688,0.223512,120500000.0,-100300000.0,189300000.0,199300000.0,120100000.0,-69200000.0,-68600000.0,68600000.0,-99989404.934688,-100300000.0,759800000.0,72134189.0,72134189.0,-2.52,-2.52,-100300000.0,-100300000.0,0.0,-100300000.0,6700000.0,-107000000.0,-107000000.0,-30800000.0,-137800000.0,42100000.0,-68600000.0,68600000.0,-110900000.0,560500000.0,371200000.0,189300000.0,189300000.0,449600000.0,199300000.0,648900000.0,648900000.0,2024-06-30 00:00:00,-400000.0,-400000.0,-400000.0
