Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
10382125.0,10382125.0,110342000.0,110573000.0,34911000.0,270628000.0,-16770000.0,34911000.0,160055000.0,160055000.0,160055000.0,160055000.0,56234000.0,,,103821000.0,103821000.0,153070000.0,2979000.0,,,,0.0,0.0,2979000.0,150091000.0,4655000.0,,110573000.0,110573000.0,,240000.0,30232000.0,,30232000.0,313125000.0,179804000.0,13564000.0,,20497000.0,3793000.0,,3793000.0,,,125144000.0,125144000.0,16806000.0,,16806000.0,778000.0,16028000.0,,,,133321000.0,15317000.0,,93000.0,9846000.0,108065000.0,107834000.0,231000.0,,,2024-03-31
10370500.0,10370500.0,138457000.0,138727000.0,-103000.0,277857000.0,-59996000.0,-103000.0,139130000.0,139130000.0,139130000.0,139130000.0,35425000.0,,,103705000.0,103705000.0,209358000.0,1559000.0,1000.0,,,0.0,0.0,1558000.0,207799000.0,48290800.0,,138727000.0,138727000.0,,239000.0,4318000.0,,4318000.0,348488000.0,200685000.0,12663000.0,,26754000.0,4461000.0,,4461000.0,,,139233000.0,139233000.0,17574000.0,,17574000.0,382000.0,17192000.0,,,,147803000.0,26765000.0,,83000.0,13352000.0,107603000.0,107333000.0,270000.0,,,2023-09-30
10370500.0,10370500.0,,101558000.0,86912000.0,284361000.0,40874000.0,86912000.0,182803000.0,182803000.0,182803000.0,182803000.0,,1953000.0,77124000.0,103705000.0,103705000.0,125530000.0,1862000.0,-1000.0,1863000.0,0.0,,,1863000.0,123668000.0,2831000.0,0.0,101558000.0,101558000.0,239000.0,240000.0,18890000.0,4723000.0,14167000.0,308333000.0,143791000.0,-1000.0,1713000.0,12243000.0,0.0,0.0,,2748000.0,2748000.0,95891000.0,95891000.0,31197000.0,-10439000.0,41636000.0,12975000.0,,14826000.0,13835000.0,0.0,164542000.0,,22881000.0,260000.0,11713000.0,129688000.0,,129688000.0,129495000.0,192000.0,2023-03-31
